hun_0001	ɒz ɛmbɛri jogok ɛɟɛtɛmɛʃ ɲilɒtkozɒtɒ
hun_0019	mindɛnki baːrmɛj mɛgkylønbøztɛteːʃrɛ nɛvɛzɛtɛʃɛn fɒjrɒ siːnrɛ nɛmrɛ ɲɛlvrɛ vɒlaːʃrɒpolitikɒi vɒɟ baːrmɛj maːʃ veːlɛmeːɲrɛ nɛmzɛti vɒɟ taːrʃɒdɒlmi ɛrɛdɛtrɛ vɒɟonrɒsylɛteːʃrɛ vɒɟ baːrmɛj maːʃ kørylmeːɲrɛ vɒloː tɛkintɛt neːlkyl hivɒtkozhɒt ɒ jɛlɛn
hun_0020	ɲilɒtkozɒtbɒn kiɲilvaːniːtot øʃsɛʃ jogokrɒ eːʃ sɒbɒdʃaːgokrɒ
hun_0021	ɛzɛnfɛlyl nɛm lɛhɛt ʃɛmifeːlɛ mɛgkylønbøztɛteːʃt tɛnni ɒnɒk ɒz orsaːgnɒk vɒɟtɛrylɛtnɛk politikɒi jogi vɒɟ nɛmzɛtkøzi hɛjzɛtɛ ɒlɒpjaːn ʃɛm ɒmɛjnɛk ɒ sɛmeːjaːlɒmpolgaːrɒ ɒsɛrint hoɟ ɒz ilɛtøː orsaːg vɒɟ tɛrylɛt fygɛtlɛn ɟaːmʃaːg ɒlɒt aːl nɛmɒutonoːm vɒɟ suvɛrɛnitaːʃɒ baːrmɛj vonɒtkozaːʃbɒn korlaːtozot
hun_0022	
hun_0023	tsik
hun_0024	mindɛn sɛmeːjnɛk jogɒ vɒn ɒz eːlɛthɛz ɒ sɒbɒdʃaːghoz eːʃ ɒ sɛmeːji biztonʃaːghoz
hun_0025	
hun_0026	tsik
hun_0027	ʃɛnkit ʃɛm lɛhɛt rɒbsolgɒʃaːgbɒn vɒɟ solgɒʃaːgbɒn tɒrtɒni ɒ rɒbsolgɒʃaːg eːʃ ɒrɒbsolgɒkɛrɛʃkɛdeːʃ mindɛn ɒlɒkjɒ tiloʃ
hun_0028	
hun_0029	tsik
hun_0030	ʃɛnkit ʃɛm lɛhɛt kiːnvɒlɒtaːʃnɒk ɒvɒɟ kɛɟɛtlɛn ɛmbɛrtɛlɛn vɒɟ lɛɒlɒtʃoɲiːtoːbyntɛteːʃnɛk vɒɟ baːnaːʃmoːdnɒk ɒlaːvɛtni
hun_0031	
hun_0032	tsik
hun_0033	mindɛnkinɛk jogɒ vɒn ɒhhoz hoɟ jogɒlɒɲiʃaːgaːt baːrhol ɛliʃmɛrjeːk
hun_0034	
hun_0035	tsik
hun_0036	ɒ tørveːɲ ɛløːt mindɛnki ɛɟɛnløː eːʃ mindɛn mɛgkylønbøztɛteːʃ neːlkyl jogɒ vɒn ɒ tørveːɲɛɟɛnløː veːdɛlmeːhɛz
hun_0037	mindɛnkinɛk jogɒ vɒn ɛɟɛnløː veːdɛlɛmhɛz ɒ jɛlɛn ɲilɒtkozɒtot ʃeːrtøːmindɛn mɛgkylønbøztɛteːʃɛl eːʃ mindɛn ijɛn mɛgkylønbøztɛteːʃrɛ iraːɲuloː fɛlbujtaːʃɒlsɛmbɛn
hun_0038	
hun_0039	tsik
hun_0040	mindɛn sɛmeːjnɛk jogɒ vɒn ɒz ɒlkotmaːɲbɒn vɒɟ ɒ tørveːɲbɛn reːseːrɛ biztoʃiːtotɒlɒpvɛtøː jogokɒt ʃeːrtøː ɛljaːraːʃok ɛlɛn ɒ hɒzɒi biːroːʃaːgokhoz teːɲlɛgɛʃ jogorvoʃlɒteːrtfojɒmodni
hun_0041	
hun_0042	tsik
hun_0043	ʃɛnkit ʃɛm lɛhɛt ønkeːɲɛʃɛn lɛtɒrtoːztɒtni øːrizɛtbɛ vɛnni vɒɟ saːmuzni
hun_0044	
hun_0045	tsik
hun_0046	mindɛn sɛmeːjnɛk tɛljɛʃɛn ɛɟɛnløː jogɒ vɒn ɒrɒ hoɟ yɟeːt fygɛtlɛn eːʃ paːrtɒtlɒnbiːroːʃaːg meːltaːɲoʃɒn eːʃ ɲilvaːnoʃɒn taːrɟɒljɒ ʃ ɛz hɒtaːrozzon ɛɟreːst jogɒi eːʃkøːtɛlɛzɛtʃeːgɛi fɛløːl maːʃreːst mindɛn ɛlɛnɛ ɛmɛlt bunyɟi vaːd mɛgɒlɒpozotʃaːgɒ fɛløːl
hun_0047	
hun_0048	tsik
hun_0049	
hun_0050	mindɛn byntɛtɛndøː tʃɛlɛkmeːnɲɛl vaːdolt sɛmeːjt aːrtɒtlɒnɒk kɛl veːlɛlmɛznimindɒdig ɒmiːg bunøːʃeːgeːt ɲilvaːnoʃɒn lɛfojtɒtot pɛrbɛn ɒ veːdɛlmeːhɛz sykʃeːgɛʃvɒlɒmɛnɲi biztoʃiːteːk mɛlɛt tørveːɲɛʃɛn mɛgaːlɒpiːtjaːk
hun_0051	
hun_0052	ʃɛnkit ʃɛm sɒbɒd ɛliːteːlni oj tʃɛlɛkmeːɲeːrt vɒɟ mulɒstaːʃeːrt ɒmɛj ɛlkøvɛteːʃɛpilɒnɒtaːbɒn ɒ hɒzɒi jog vɒɟ ɒ nɛmzɛtkøzi jog sɛrint nɛm volt byntɛtɛndøː tʃɛlɛkmeːɲ
hun_0053	uɟɒntʃɒk nɛm sɒbɒd ʃuːjoʃɒb byntɛteːʃt kisɒbni mint ɒmɛj ɒ byntɛtɛndøːtʃɛlɛkmeːɲ ɛlkøvɛteːʃɛ pilɒnɒtaːbɒn volt ɒlkɒlmɒzhɒtoː
hun_0054	
hun_0055	tsik
hun_0056	ʃɛnkinɛk mɒgaːneːlɛteːbɛ tʃɒlaːdi yɟɛibɛ lɒkoːhɛjɛ mɛgvaːlɒstaːʃaːbɒ vɒɟ lɛvɛlɛzeːʃeːbɛnɛm sɒbɒd ønkeːɲɛʃɛn bɛɒvɒtkozni ʃɛm pɛdig bɛtʃylɛteːbɛn vɒɟ joː hiːrnɛveːbɛnmɛgʃeːrtɛni
hun_0057	mindɛn sɛmeːjnɛk jogɒ vɒn ɒz ijɛn bɛɒvɒtkozaːʃokkɒl vɒɟ ʃeːrteːʃɛkɛlsɛmbɛn ɒ tørveːɲ veːdɛlmeːhɛz
hun_0058	
hun_0059	tsik
hun_0060	
hun_0061	ɒz aːlɒmon bɛlyl mindɛn sɛmeːjnɛk jogɒ vɒn sɒbɒdon mozogni eːʃ lɒkoːhɛjeːtsɒbɒdon mɛgvaːlɒstɒni
hun_0062	
hun_0063	mindɛn sɛmeːjnɛk jogɒ vɒn mindɛn orsaːgot idɛeːrtvɛ ʃɒjaːt hɒzaːjaːt iʃ ɛlhɒɟnivɒlɒmint ʃɒjaːt hɒzaːjaːbɒ viʃsɒteːrni
hun_0064	
hun_0065	tsik
hun_0066	
hun_0067	mindɛn sɛmeːjnɛk jogɒ vɒn ɒz yldøzeːʃ ɛløːl maːʃ orsaːgbɒn mɛnɛdeːkɛt kɛrɛʃni eːʃ ɒmaːʃ orsaːg ɲuːjtotɒ mɛnɛdeːkɛt eːlvɛzni
hun_0068	
hun_0069	ɛrɛ ɒ jogrɒ nɛm lɛhɛt hivɒtkozni køzønʃeːgɛʃ buntʃɛlɛkmeːɲ miɒti
hun_0070	kɛløːkeːpɛnmɛgɒlɒpozot yldøzeːʃ ʃɛm pɛdig ɒz ɛɟɛʃylt nɛmzɛtɛk tseːljɒivɒl eːʃ ɛlvɛivɛl ɛlɛnteːtɛʃtɛveːkɛɲʃeːg ɛʃɛteːbɛn
hun_0071	
hun_0072	tsik
hun_0073	
hun_0074	mindɛn sɛmeːjnɛk jogɒ vɒn vɒlɒmɛj aːlɒmpolgaːrʃaːghoz
hun_0075	
hun_0076	ʃɛnkit ʃɛm lɛhɛt ʃɛm aːlɒmpolgaːrʃaːgaːtoːl ʃɛm aːlɒmpolgaːrʃaːgɒ mɛgvaːltoztɒtaːʃaːnɒkjogaːtoːl ønkeːɲɛʃɛn mɛgfostɒni
hun_0077	
hun_0078	tsik
hun_0079	
hun_0080	mind ɒ feːrfinɒk mind ɒ nøːnɛk ɒ haːzɒʃaːgrɒ eːrɛt kor ɛleːreːʃeːtøːl kɛzdvɛ jogɒ vɒn fɒjonnɛmzɛtiʃeːgɛn vɒɟ vɒlaːʃon ɒlɒpuloː korlaːtozaːʃ neːlkyl haːzɒʃaːgot køtni eːʃ tʃɒlaːdotɒlɒpiːtɒni
hun_0081	ɒ haːzɒʃaːg tɛkintɛteːbɛn ɒ feːrfinɒk eːʃ ɒ nøːnɛk mind ɒ haːzɒʃaːg tɒrtɒmɒ ɒlɒtmind ɒ haːzɒʃaːg fɛlbontaːʃɒ tɛkintɛteːbɛn ɛɟɛnløː jogɒi vɒnɒk
hun_0082	
hun_0083	haːzɒʃaːgot tʃɒk ɒ jøvɛndøː haːzɒʃtaːrʃɒk sɒbɒd eːʃ tɛljɛʃ bɛlɛɛɟɛzeːʃeːvɛl lɛhɛt køtni
hun_0084	
hun_0085	ɒ tʃɒlaːd ɒ taːrʃɒdɒlom tɛrmeːsɛtɛʃ eːʃ ɒlɒpvɛtøː ɒlkotoː ɛlɛmɛ eːʃ jogɒ vɒn ɒ taːrʃɒdɒlomvɒlɒmint ɒz aːlɒm veːdɛlmeːrɛ
hun_0086	
hun_0087	tsik
hun_0088	
hun_0089	mindɛn sɛmeːjnɛk mind ɛɟeːnilɛg mind maːʃokkɒl ɛɟytɛʃɛn jogɒ vɒn ɒ tulɒjdonhoz
hun_0090	
hun_0091	ʃɛnkit ʃɛm lɛhɛt tulɒjdonaːtoːl ønkeːɲɛʃɛn mɛgfostɒni
hun_0092	
hun_0093	tsik
hun_0094	mindɛn sɛmeːjnɛk jogɒ vɒn ɒ gondolɒt ɒ lɛlkiiʃmɛrɛt eːʃ ɒ vɒlaːʃ sɒbɒdʃaːgaːhoz ɛz ɒ jogmɒgaːbɒn foglɒljɒ ɒ vɒlaːʃ eːʃ ɒ mɛgɟøːzøːdeːʃ mɛgvaːltoztɒtaːʃaːnɒk sɒbɒdʃaːgaːt vɒlɒmint ɒvɒlaːʃnɒk vɒɟ ɒ mɛgɟøːzøːdeːʃnɛk mind ɛɟeːnilɛg mind ɛɟytɛʃɛn mind ɒ ɲilvaːnoʃaːgɛløːt mind ɒ mɒgaːneːlɛtbɛn oktɒtaːʃ ɟɒkorlaːʃ eːʃ sɛrtɒrtaːʃok veːgzeːʃɛ uːtjaːn vɒloːkifɛjɛzeːʃrɛ jutɒtaːʃaːnɒk jogaːt
hun_0095	
hun_0096	tsik
hun_0097	mindɛn sɛmeːjnɛk jogɒ vɒn ɒ veːlɛmeːɲ eːʃ ɒ kifɛjɛzeːʃ sɒbɒdʃaːgaːhoz ɒmɛj mɒgaːbɒnfoglɒljɒ ɒzt ɒ jogot hoɟ veːlɛmeːɲɛ miɒt nɛ sɛnvɛdjɛn zɒklɒtaːʃt eːʃ hoɟ hɒtaːrokrɒ vɒloːtɛkintɛt neːlkyl kutɒthɒʃon aːtvihɛʃɛn eːʃ tɛrjɛsthɛʃɛn hiːrɛkɛt eːʃ ɛsmeːkɛt baːrmijɛnkifɛjɛzeːʃi moːdon
hun_0098	
hun_0099	tsik
hun_0100	
hun_0101	mindɛn sɛmeːjnɛk jogɒ vɒn beːkeːʃ tseːluː ɟylɛkɛzeːʃi eːʃ ɛɟɛʃyleːʃi sɒbɒdʃaːghoz
hun_0102	
hun_0103	ʃɛnkit ʃɛm lɛhɛt vɒlɒmɛj ɛɟɛʃylɛtbɛ vɒloː bɛleːpeːʃrɛ køːtɛlɛzni
hun_0104	
hun_0105	tsik
hun_0106	
hun_0107	mindɛn sɛmeːjnɛk jogɒ vɒn ɒ hɒzaːjɒ køzyɟɛinɛk igɒzgɒtaːʃaːbɒn ɒkaːr køzvɛtlɛnyl ɒkaːrsɒbɒdon vaːlɒstot keːpviʃɛløːi uːtjaːn vɒloː reːsveːtɛlhɛz
hun_0108	
hun_0109	mindɛn sɛmeːjnɛk ɛɟɛnløː fɛlteːtɛlɛk mɛlɛt jogɒ vɒn ʃɒjaːt hɒzaːjaːbɒn køzsolgaːlɒtiaːlaːʃokrɒ vɒloː ɒlkɒlmɒzaːʃaːhoz
hun_0110	
hun_0111	ɒ køzhɒtɒlom tɛkinteːjeːnɛk ɒlɒpjɒ ɒ neːp ɒkɒrɒtɒ
hun_0112	ɛz ɒz ɒkɒrɒt ɛɟɛnløː sɒvɒzɒti jog eːʃtitkoʃ sɒvɒzaːʃ vɒɟ ɒ sɒvɒzaːʃ sɒbɒdʃaːgaːt ɛzzɛl ɛɟɛneːrteːkuɛn biztoʃiːtoː ɛljaːraːʃ ɒlɒpjaːnidøːsɒkonkeːnt tɒrtɒndoː tistɛʃeːgɛʃ vaːlɒstaːʃon kɛl hoɟ kifɛjɛzeːʃrɛ juʃon
hun_0113	
hun_0114	tsik
hun_0115	mindɛn sɛmeːjnɛk mint ɒ taːrʃɒdɒlom tɒgjaːnɒk jogɒ vɒn ɒ sotsiaːliʃ biztonʃaːghoz
hun_0116	mindɛnsɛmeːjnɛk uɟɒntʃɒk igeːɲɛ vɒn ɒrɒ hoɟ ɒz aːlɒmok ɛrøːfɛsiːteːʃɛi eːʃ ɒ nɛmzɛtkøziɛɟytmukødeːʃ ɛrɛdmeːɲɛkeːpɛn eːʃ saːmotvɛtvɛ ɒz ɛɟɛʃ orsaːgok sɛrvɛzɛteːvɛl eːʃ gɒzdɒʃaːgi ɛrøːforaːʃɒivɒl ɒ meːltoːʃaːgaːhoz eːʃsɛmeːjiʃeːgeːnɛk sɒbɒdon vɒloː kifɛjløːdeːʃeːhɛz sykʃeːgɛʃ gɒzdɒʃaːgi sotsiaːliʃ eːʃkulturaːliʃ jogɒit kiɛleːgiːthɛʃɛ
hun_0117	
hun_0118	tsik
hun_0119	
hun_0120	mindɛn sɛmeːjnɛk jogɒ vɒn ɒ munkaːhoz ɒ munkɒ sɒbɒd mɛgvaːlɒstaːʃaːhoz ɒmeːltaːɲoʃ eːʃ kiɛleːgiːtøː munkɒfɛlteːtɛlɛkhɛz eːʃ ɒ munkɒneːlkyliʃeːg ɛlɛni veːdɛlɛmhɛz
hun_0121	
hun_0122	ɒz ɛɟɛnløː munkaːeːrt mindɛnkinɛk baːrmijɛn mɛgkylønbøztɛteːʃ neːlkyl ɛɟɛnløː beːrhɛzvɒn jogɒ
hun_0123	
hun_0124	mindɛnkinɛk ɒki dolgozik ojɒn meːltaːɲoʃ eːʃ kiɛleːgiːtøː fizɛteːʃhɛz vɒn jogɒ ɒmɛjsaːmaːrɒ eːʃ tʃɒlaːdjɒ saːmaːrɒ ɒz ɛmbɛri meːltoːʃaːgnɒk mɛgfɛlɛløː leːtɛt biztoʃiːt eːʃ ɒmɛjɛtmɛgfɛlɛløː ɛʃɛtbɛn ɒ sotsiaːliʃ veːdɛlɛm øʃsɛʃ ɛɟeːb ɛskøzɛi ɛgeːsiːtɛnɛk ki
hun_0125	
hun_0126	mindɛn sɛmeːjnɛk jogɒ vɒn ɒ pihɛneːʃhɛz ɒ sɒbɒd idøːhøz nɛvɛzɛtɛʃɛn ɒ munkɒidøːtɒrtɒmaːnɒk eːʃsɛru korlaːtozaːʃaːhoz vɒlɒmint ɒz idøːsɒkonkeːnti fizɛtɛt sɒbɒdʃaːghoz
hun_0127	
hun_0128	tsik
hun_0129	mindɛn sɛmeːjnɛk jogɒ vɒn ɒ pihɛneːʃrɛ eːʃ sɒbɒdidøːrɛ bɛlɛeːrtvɛ ɒ munkɒidøː eːʃsɛrukorlaːtozaːʃaːt eːʃ ɒz idøːsɒkoʃ fizɛtɛt sɒbɒdʃaːgot
hun_0130	
hun_0131	tsik
hun_0132	
hun_0133	mindɛn sɛmeːjnɛk jogɒ vɒn ʃɒjaːt mɒgɒ eːʃ tʃɒlaːdjɒ ɛgeːsʃeːgeːnɛk eːʃ joːleːteːnɛkbiztoʃiːtaːʃaːrɒ ɒlkɒlmɒʃ eːlɛtsiːnvonɒlhoz nɛvɛzɛtɛʃɛn eːlɛlɛmhɛz ruhaːzɒthoz lɒkaːʃhozorvoʃi gondozaːʃhoz vɒlɒmint ɒ sykʃeːgɛʃ sotsiaːliʃ solgaːltɒtaːʃokhoz jogɒ vɒn ɒmunkɒneːlkyliʃeːg bɛtɛgʃeːg rokkɒntʃaːg øzvɛɟʃeːg ørɛgʃeːg ɛʃɛteːrɛ soːloː vɒlɒmintmindɒzon maːʃ ɛʃɛtɛkrɛ soːloː biztoʃiːtaːʃhoz ɒmikor leːtfɛnntɒrtaːʃi ɛskøzɛit ɒkɒrɒtaːtoːlfygɛtlɛn kørylmeːɲɛk miɒt ɛlvɛsiːti
hun_0134	
hun_0135	ɒz ɒɲɒʃaːg eːʃ ɒ ɟɛrmɛkor kylønlɛgɛʃ ʃɛgiːtʃeːghɛz eːʃ taːmogɒtaːʃhoz ɒdnɒk jogot
hun_0136	mindɛn ɟɛrmɛk ɒkaːr haːzɒʃaːgboːl ɒkaːr haːzɒʃaːgon kiːvyl sylɛtɛt uɟɒnɒbɒn ɒsotsiaːliʃ veːdɛlɛmbɛn reːsɛʃyl
hun_0137	
hun_0138	tsik
hun_0139	
hun_0140	mindɛn sɛmeːjnɛk jogɒ vɒn ɒ nɛvɛleːʃhɛz
hun_0141	ɒ nɛvɛleːʃnɛk lɛgɒlaːbiʃ ɒz ɛlɛmi eːʃɒlɒpvɛtøː oktɒtaːʃt ilɛtøːɛn inɟɛnɛʃnɛk kɛl lɛnniɛ
hun_0142	ɒz ɛlɛmi oktɒtaːʃ køtɛlɛzøː
hun_0143	ɒ tɛtshnikɒi eːʃsɒkoktɒtaːʃt aːltɒlaːnoʃaː kɛl tɛnni
hun_0144	ɒ fɛlʃøːb tɒnulmaːɲokrɒ vɒloː fɛlveːtɛlnɛk mindɛnki ɛløːt
hun_0145	eːrdɛmeːhɛz keːpɛʃt ɛɟɛnløː fɛlteːtɛlɛk mɛlɛt ɲitvɒ kɛl aːlniɒ
hun_0146	
hun_0147	ɒ nɛvɛleːʃnɛk ɒz ɛmbɛri sɛmeːjiʃeːg tɛljɛʃ kibontɒkoztɒtaːʃaːrɒ vɒlɒmint ɒz ɛmbɛri jogokeːʃ ɒlɒpvɛtøː sɒbɒdʃaːgok tistɛlɛtbɛntɒrtaːʃaːnɒk mɛgɛrøːʃiːteːʃeːrɛ kɛl iraːɲulniɒ
hun_0148	ɒnɛvɛleːʃnɛk ɛløː kɛl ʃɛgiːtɛniɛ ɒ nɛmzɛtɛk vɒlɒmint ɒz øʃsɛʃ fɒji eːʃ vɒlaːʃi tʃoportokkøzøti mɛgeːrteːʃt tyrɛlmɛt eːʃ bɒraːtʃaːgot vɒlɒmint ɒz ɛɟɛʃylt nɛmzɛtɛk aːltɒl ɒ beːkɛfɛnntɒrtaːʃaːnɒk eːrdɛkeːbɛn kifɛjtɛt tɛveːkɛɲʃeːg kifɛjløːdeːʃeːt
hun_0149	
hun_0150	ɒ syløːkɛt ɛlʃøːbʃeːgi jog ilɛti mɛg ɒ ɟɛrmɛkɛiknɛk ɒdɒndoː nɛvɛleːʃ mɛgvaːlɒstaːʃaːbɒn
hun_0151	
hun_0152	tsik
hun_0153	
hun_0154	mindɛn sɛmeːjnɛk jogɒ vɒn ɒ køzøʃeːg kulturaːliʃ eːlɛteːbɛn vɒloː sɒbɒd reːsveːtɛlhɛz ɒmuveːsɛtɛk eːlvɛzeːʃeːhɛz vɒlɒmint ɒ tudomaːɲ hɒlɒdaːʃaːbɒn eːʃ ɒz ɒboːl saːrmɒzoːjoːteːtɛmeːɲɛkbɛn vɒloː reːsveːtɛlhɛz
hun_0155	
hun_0156	mindɛnkinɛk jogɒ vɒn mindɛn aːltɒlɒ ɒlkotot tudomaːɲoʃ irodɒlmi eːʃ muveːsɛtitɛrmeːkɛl kɒptʃolɒtoʃ ɛrkøltʃi eːʃ ɒɲɒgi eːrdɛkɛinɛk veːdɛlmeːhɛz
hun_0157	
hun_0158	tsik mindɛn sɛmeːjnɛk jogɒ vɒn ɒhhoz hoɟ mind ɒ taːrʃɒdɒlmimind ɒ nɛmzɛtkøzi visoɲok tɛkintɛteːbɛn ojɒn rɛndsɛr urɒlkodjeːkɒmɛjbɛn ɒ jɛlɛn ɲilɒtkozɒtbɒn kiɲilvaːniːtot jogok eːʃ sɒbɒdʃaːgoktɛljɛʃ hɒtaːljɒl eːrveːɲɛʃylhɛʃɛnɛk
hun_0159	
hun_0160	tsik
hun_0161	
hun_0162	ɒ sɛmeːjnɛk køːtɛlɛʃeːgɛi vɒnɒk ɒ køzøʃeːggɛl sɛmbɛn ɒmɛjnɛk kɛrɛteːbɛnɛɟɛdyl lɛhɛtʃeːgɛʃ ɒ sɛmeːjiʃeːg sɒbɒd eːʃ tɛljɛʃ kifɛjløːdeːʃɛ
hun_0163	
hun_0164	jogɒinɒk ɟɒkorlaːʃɒ eːʃ sɒbɒdʃaːgɒinɒk eːlvɛzɛtɛ tɛkintɛteːbɛn ʃɛnki ʃintʃ ɒlaːvɛtvɛ maːʃkorlaːtozaːʃnɒk mint ɒmɛjɛt ɒ tørveːɲ kizaːroːlɒg maːʃok jogɒi eːʃ sɒbɒdʃaːgɒi ɛliʃmɛreːʃeːnɛkeːʃ tistɛlɛtbɛntɒrtaːʃaːnɒk biztoʃiːtaːʃɒ eːrdɛkeːbɛn vɒlɒmint ɒ dɛmokrɒtikuʃ taːrʃɒdɒlomɛrkøltʃɛ køzrɛndjɛ eːʃ aːltɒlaːnoʃ joːleːtɛ jogoʃ køvɛtɛlmeːɲɛinɛk kiɛleːgiːteːʃɛ eːrdɛkeːbɛnmɛgaːlɒpiːt
hun_0165	
hun_0166	ɛzɛkɛt ɒ jogokɒt eːʃ sɒbɒdʃaːgokɒt ʃɛmi ɛʃɛtrɛ ʃɛm lɛhɛt ɒz ɛɟɛʃylt nɛmzɛtɛktseːljɒivɒl eːʃ ɛlvɛivɛl ɛlɛnteːtɛʃɛn ɟɒkorolni
hun_0167	
hun_0168	tsik
