human_rights_un_spa_mr_64kb_0001	deklaɾasion uniβeɾsal de deɾecos wmanos
human_rights_un_spa_mr_64kb_0060	toða peɾsona tiene deɾeco a la pɾopieðað indiβiðual j kolektiβamente
human_rights_un_spa_mr_64kb_0061	naðie seɾa pɾiβaðo aɾβitɾaɾiamente de su pɾopieðað
human_rights_un_spa_mr_64kb_0062	aɾtikulo k
human_rights_un_spa_mr_64kb_0063	toða peɾsona tiene deɾeco a la liβeɾtað de pensamiento de konsiensia j de relixion
human_rights_un_spa_mr_64kb_0064	este deɾeco inkluje la liβeɾtað de kambiaɾ de relixion o de kɾensia asi komo la liβeɾtað de manifestaɾ su relixion o su kɾensia indiβiðual j kolektiβamente tanto en puβliko komo en pɾiβaðo poɾ la enseɲansa la pɾaktika el kulto j la oβseɾβansia
human_rights_un_spa_mr_64kb_0065	aɾtikulo
human_rights_un_spa_mr_64kb_0066	toðo indiβiðuo tiene deɾeco a la liβeɾtað de opinion j de ekspɾesion
human_rights_un_spa_mr_64kb_0067	este deɾeco inkluje el no seɾ molestaðo a kausa de sus opiniones el de inbestigaɾ j resiβiɾ infoɾmasiones j opiniones j el de difundiɾlas sin limitasion de fɾonteɾas poɾ kualkieɾ meðio de ekspɾesion
human_rights_un_spa_mr_64kb_0068	aɾtikulo e
human_rights_un_spa_mr_64kb_0069	toða peɾsona tiene deɾeco a la liβeɾtað de reunion j de asosiasion pasifikas
human_rights_un_spa_mr_64kb_0070	naðie poðɾa seɾ oβligaðo a peɾteneseɾ a una asosiasion
human_rights_un_spa_mr_64kb_0071	aɾtikulo e
human_rights_un_spa_mr_64kb_0072	toða peɾsona tiene deɾeco a paɾtisipaɾ en el goβieɾno de su pas diɾektamente o poɾ meðio de repɾesentantes liβɾemente eskoxiðos
human_rights_un_spa_mr_64kb_0073	toða peɾsona tiene el deɾeco de akseso en kondisiones de iɣualdað a las funsiones puβlikas de su pais
human_rights_un_spa_mr_64kb_0074	la boluntað del pueβlo es la base de la autoɾiðað del poðeɾ puβliko
human_rights_un_spa_mr_64kb_0075	esta boluntað se ekspɾesaɾa meðiante eleksiones autentikas ke aβɾan de seleβɾaɾse peɾioðikamente poɾ sufɾaxio uniβeɾsal e iɣual j poɾ boto sekɾeto u otɾo pɾoseðimiento ekiβalente ke gaɾantise la liβeɾtað del boto
human_rights_un_spa_mr_64kb_0076	aɾtikulo es
human_rights_un_spa_mr_64kb_0077	toða peɾsona komo miembɾo de la sosieðað tiene deɾeco a la seguɾiðað sosial j a oβteneɾ meðiante el esfueɾso nasional j la kopeɾasion inteɾnasional aβiða kuenta de la oɾganisasion j los rekuɾsos de kaða estaðo la satisfaksion de los deɾecos ekonomikos sosiales j kultuɾales indispensaβles a su digniðað j al liβɾe desaroʎo de su peɾsonaliðað
human_rights_un_spa_mr_64kb_0078	aɾtikulo e
human_rights_un_spa_mr_64kb_0079	toða peɾsona tiene deɾeco al tɾaβaxo a la liβɾe eleksion de su tɾaβaxo a kondisiones ekitatiβas j satisfaktoɾias de tɾaβaxo j a la pɾoteksion kontɾa el desempleo
human_rights_un_spa_mr_64kb_0080	toða peɾsonal tiene deɾeco sin diskɾiminasion alguna a iɣual salaɾio poɾ tɾaβaxo iɣual
human_rights_un_spa_mr_64kb_0081	toða peɾsona ke tɾaβaxa tiene deɾeco a una remuneɾasion ekitatiβa j satisfaktoɾia ke le aseguɾe asi komo a su familia una eksistensia konfoɾme a la digniðað wmana j ke seɾa kompletaða en kaso nesesaɾio poɾ kualeskieɾa otɾos meðios de pɾoteksion sosial
human_rights_un_spa_mr_64kb_0082	toða peɾsona tiene deɾeco a fundaɾ sindikatos j a sindikaɾse paɾa la defensa de sus inteɾeses
human_rights_un_spa_mr_64kb_0083	aɾtikulo e
human_rights_un_spa_mr_64kb_0084	toða peɾsona tiene deɾeco al deskanso al disfɾute del tiempo liβɾe a una limitasion rasonaβle de la duɾasion del tɾaβaxo j a bakasiones peɾioðikas pagaðas
human_rights_un_spa_mr_64kb_0085	aɾtikulo e
human_rights_un_spa_mr_64kb_0086	toða peɾsona tiene deɾeco a un niβel de biða aðekuaðo ke le aseguɾe asi komo a su familia la saluð j el bienestaɾ j en espesial la alimentasion el bestiðo la biβienda la asistensia meðika j los seɾβisios sosiales nesesaɾios
human_rights_un_spa_mr_64kb_0087	tiene asimizmo deɾeco a los seguɾos en kaso de desempleo enfeɾmeðað inbaliðes biuðes bexes j otɾos kasos de peɾðiða de sus meðios de suβsistensia poɾ siɾkunstansias independientes de su boluntað
human_rights_un_spa_mr_64kb_0088	la mateɾniðað j la infansia tienen deɾeco a kuiðaðos j asistensia espesiales
human_rights_un_spa_mr_64kb_0089	toðos los niɲos nasiðos de matɾimonio o fueɾa de matɾimonio tienen deɾeco a iɣual pɾoteksion sosial
human_rights_un_spa_mr_64kb_0090	aɾtikulo e
human_rights_un_spa_mr_64kb_0091	toða peɾsona tiene deɾeco a la eðukasion
human_rights_un_spa_mr_64kb_0092	la eðukasion deβe seɾ gɾatuita al menos en lo konseɾniente a la instɾuksion elemental j fundamental
human_rights_un_spa_mr_64kb_0093	la instɾuksion elemental seɾa oβligatoɾia
human_rights_un_spa_mr_64kb_0094	la instɾuksion tknika j pɾofesional aβɾa de seɾ xeneɾalisaða
human_rights_un_spa_mr_64kb_0095	el akseso a los estuðios supeɾioɾes seɾa iɣual paɾa toðos en funsion de los meɾitos respektiβos
human_rights_un_spa_mr_64kb_0096	la eðukasion tendɾa poɾ oβxeto el pleno desaroʎo de la peɾsonaliðað wmana j el foɾtalesimiento del respeto a los deɾecos wmanos j a las liβeɾtaðes fundamentales
human_rights_un_spa_mr_64kb_0097	faβoɾeseɾa la kompɾension la toleɾansia j la amistað entɾe toðas las nasiones j toðos los gɾupos etnikos o relixiosos
human_rights_un_spa_mr_64kb_0098	j pɾomoβeɾa el desaroʎo de las aktiβiðaðes de las nasiones uniðas paɾa el mantenimiento de la pas
human_rights_un_spa_mr_64kb_0099	los paðɾes tendɾan deɾeco pɾefeɾente a eskoxeɾ el tipo de eðukasion ke aβɾa de daɾse a sus jxos
human_rights_un_spa_mr_64kb_0100	aɾtikulo esk
human_rights_un_spa_mr_64kb_0101	toða peɾsona tiene deɾeco a tomaɾ paɾte liβɾemente en la biða kultuɾal de la komuniðað a gosaɾ de las aɾtes j a paɾtisipaɾ en el pɾogɾeso sientifiko j en los benefisios ke de el resulten
human_rights_un_spa_mr_64kb_0102	toða peɾsona tiene deɾeco a la pɾoteksion de los inteɾeses moɾales j mateɾiales ke le korespondan poɾ rason de las pɾoðuksiones sientifikas liteɾaɾias o aɾtistikas de ke sea autoɾa
human_rights_un_spa_mr_64kb_0103	aɾtikulo e
human_rights_un_spa_mr_64kb_0104	toða peɾsona tiene deɾeco a ke se estaβleska un oɾðen sosial e inteɾnasional en el ke los deɾecos j liβeɾtaðes pɾoklamaðos en esta deklaɾasion se agan plenamente efektiβos
human_rights_un_spa_mr_64kb_0105	aɾtikulo e
human_rights_un_spa_mr_64kb_0106	toða peɾsona tiene deβeɾes respekto a la komuniðað puesto ke solo en eʎa pueðe desaroʎaɾ liβɾe j plenamente su peɾsonaliðað
human_rights_un_spa_mr_64kb_0107	en el exeɾsisio de sus deɾecos j en el disfɾute de sus liβeɾtaðes toða peɾsona estaɾa solamente suxeta a las limitasiones estaβlesiðas poɾ la lej kon el uniko fin de aseguɾaɾ el rekonosimiento j el respeto de los deɾecos j liβeɾtaðes de los demas j de satisfaseɾ las xustas eksixensias de la moɾal del oɾðen puβliko j del bienestaɾ xeneɾal en una sosieðað demokɾatika
human_rights_un_spa_mr_64kb_0108	estos deɾecos j liβeɾtaðes no poðɾan en ningun kaso seɾ exeɾsiðos en oposision a los pɾopositos j pɾinsipios de las nasiones uniðas
human_rights_un_spa_mr_64kb_0109	aɾtikulo
human_rights_un_spa_mr_64kb_0110	naða en la pɾesente deklaɾasion poðɾa inteɾpɾetaɾse en el sentiðo de ke konfieɾe deɾeco alguno al estaðo a un gɾupo o a una peɾsona paɾa empɾendeɾ j desaroʎaɾ aktiβiðaðes o realisaɾ aktos tendientes a la supɾesion de kualkieɾa de los deɾecos j liβeɾtaðes pɾoklamaðos en esta deklaɾasion
