human_rights_un_yid_ss_64kb_0001	ʔlʔltlʔχʕ dʕklʔrʔtsjʔ fwn mʔntnʁʕχt
human_rights_un_yid_ss_64kb_0025	dʔas qlʔfʕr aon dʕʁ klʔfnhʔndl zʔaln zn trʔŋ fʔʁvʔatn ʔjn ʔlʕ fʔoʁmʔn
human_rights_un_yid_ss_64kb_0026	ʔrtjql
human_rights_un_yid_ss_64kb_0027	qnʔm tʔar mʕn njt pnjqn ʔadʔʁ ʔstʕln ʔf ʔ trʔaf ʔos zʔal zn aommʕntlʕχ ʔħzwʁivtdjk ʔadʔʁ dʔɡrʔdiʁndjk
human_rights_un_yid_ss_64kb_0028	ʔrtjql
human_rights_un_yid_ss_64kb_0029	jʕdʕʁ hʔat aomʔtvm dʔas ʁʔχt ʔf dʕm mʕn zʔal ʔjm ʔanʔʁkʔnʕn j ʔ mʔnt ltn ɡʕzʔts
human_rights_un_yid_ss_64kb_0030	ʔrtjql
human_rights_un_yid_ss_64kb_0031	ʔlʕ mʕntn znʔn ɡlχ ltn ɡʕzʔts aon ʕs qvmt ʔlʕ ʔon aontʔʁd ɡlχʕ vts ltn ɡʕzʔts
human_rights_un_yid_ss_64kb_0032	ʔlʕ znʔn bʔʁʔχtiqt ʔf ʔ ɡlχʔr vts qʔɡn ʔosʔʁnitʔjz djsqʁimjnʔtsiʕ ʔos zʔal vʁʔχn djʔo dʕklʔrʔtsjʔ aon qʔɡn ʔfrtsvŋ ʔf ʔzʔ djsqʁimjnʔtsiʕ
human_rights_un_yid_ss_64kb_0033	ʔrtjql
human_rights_un_yid_ss_64kb_0034	jʕdʕʁ hʔat dʔas ʁʔχt ʔf tsw ʕndn zjχ tsw dj ɡʕhʕʁjqʔ nʔtsiʔanʔlʕ ɡʔrjχtn tsvliv ʔosʔʁnitʔjz ʔktn ʔos hʔobn ʔjm ʔapɡʕzʔoɡt dj ɡʁvntlʔχʔ ʁʔχt ʔos znʔn ʔjm vʔjljqt lt dʕʁ kʔonstitvtsiʕ tsj ɡʕzʔts
human_rights_un_yid_ss_64kb_0035	ʔrtjql
human_rights_un_yid_ss_64kb_0036	qnʔm tʔar mʕn njt ʔʁbjtʁʔri ʔʁʔstjrn hʔltn ʔjn ɡʕfʔŋʕnj ʔadʔʁ fʔrjqn fwn zn lʔnd
human_rights_un_yid_ss_64kb_0037	ʔrtjql
human_rights_un_yid_ss_64kb_0038	jʕdʕʁ hʔat ʔ ʁʔχt ʔjn fvlʔʁ ɡlχkt ʔf ʔ jvrdikn ʕfʔntlʔχn fʔʁhʕʁ fwn ʔn aomʔophʔŋjkn aompʔrtin ɡʔʁjχt vm ɡʔrʕχnt ʕʁn znʕ ʁʔχt aon fʔʁʔntʔoʁtlʔχktn aon ʕn mʕn bʔtʁʔχt ʔosʔʁnitʔjz kʁjmjnʔlʔ vʔvldjkwŋ ʔos ʕʁt ʔjm fʔʁʔoʁfn
human_rights_un_yid_ss_64kb_0039	ʔrtjql
human_rights_un_yid_ss_64kb_0040	jʕdʕʁ ʔos mʕn bʔwldjkt ʔjn ʔ fʔʁvrʔχn hʔat ʔ ʁʔχt ʔf dʕm ʔos mʕn zʔal ʔjm dn zn lkf zχvt vjz mʕn ʕt ʔjm ɡʕfinʕn wldik ltn ɡʕzʔts ʔjn ʔn ʕfʔntlʔχn pʁʔatsʕs ʔf ʕlχn ʕʁ hʔat ʔlʕ ntjqʕ ɡʔrʔntiʔs ʔf zn fʔʁtdjkwŋ
human_rights_un_yid_ss_64kb_0041	qnʔm tʔar mʕn njt ɡʕfinʕn wldik tsvliv ʔosʔʁnitʔjz ʔqt tsj dvrχlʔoz ʔos mʕn hʔat njt ɡʔrʕχnt fʔʁ qn nʔtsiʔonʔln tsj ʔjntʕʁnʔtsiʔonʔln ʔjbʕrprz ʕn mʔiz ʕs bʔɡʔŋʕn
human_rights_un_yid_ss_64kb_0042	mʕn tʔar ʔχ njt ʔrflɡn qn ɡʁʔsʔrʔ trʔaf ʔdʔr dj ʔos ʔjz ɡʕʔn ɡiltiq tsw dʕʁ tst ʕn mʕ ʔjz bʔɡʔŋʕn dʕm ʔjbʕrprz
human_rights_un_yid_ss_64kb_0043	ʔrtjql
human_rights_un_yid_ss_64kb_0044	qnʔm tʔar mʕn njt tʔrn dj priʔtkt dj mpħh dj hm ʔadʔʁ dj kʔoʁʔspʔondʕnts
human_rights_un_yid_ss_64kb_0045	qnʔms kvwd tsj m tʔar mʕn njt ʔtʔkiʁn
human_rights_un_yid_ss_64kb_0046	jʕdʕʁ hʔat ʔ ʁʔχt ʔf dʕʁ vts fwn ɡʕzʔts qʔɡn ʔzʔlχʔ tʕʁʔnjn ʔadʔʁ ʔtʔqʔs
human_rights_un_yid_ss_64kb_0047	ʔrtjql
human_rights_un_yid_ss_64kb_0048	jʕdʕʁ hʔat ʔ ʁʔχt ʔf frht fwn bʔʔɡwŋ aon nʔort tsjn dj ɡʁʔnʔtsn fwn jʕdʕʁ mlvχh
human_rights_un_yid_ss_64kb_0049	jʕdʕʁ hʔat ʔ ʁʔχt ʔf fʔʁlʔazn ʔosʔʁnitʔjz lʔnd ʔʁŋʔʁʕχnt zn ʔɡn lʔnd aon zjχ tswʁjqkʕrn ʔjn zn ʔɡn lʔnd
human_rights_un_yid_ss_64kb_0050	ʔrtjql
human_rights_un_yid_ss_64kb_0051	jʕdʕʁ hʔat ʔ ʁʔχt ʔf vʔtn aon zjχ ʔsnitsn mjt ʔzil fwn fʔʁfʔolɡwŋ ʔjn ʔslʔnd
human_rights_un_yid_ss_64kb_0052	dʔas dʔozjkʔ ʁʔχt ʔjz njt ɡiltiq ʔjn fʔl fwn prʔokvrjʁwŋʔn ʔos qwmʔn lʕɡitjm ʔʁs fwn nitpʔalitiʕ fʔʁvrʔχns ʔadʔʁ fwn ʔktn ʔos znʔn ʔqʔɡn dj tsiln aon pʁjntsjpn fwn dj fʔʁʔniktʕ fʔlkʔʁ
human_rights_un_yid_ss_64kb_0053	ʔrtjql
human_rights_un_yid_ss_64kb_0054	jʕdʕʁ hʔat ʔ ʁʔχt ʔf ʔ nʔtsjʔanʔlitʔt
human_rights_un_yid_ss_64kb_0055	mʕn tʔar njt tswnʔmʕn v qnʔm zn nʔtsjʔanʔlitʔt ʔadʔʁ ʔopzʔaɡn dʔas ʁʔχt ʔibʔʁtsvbtn zn nʔtsjʔanʔlitʔt
human_rights_un_yid_ss_64kb_0056	ʔrtjql
human_rights_un_yid_ss_64kb_0057	dʔʁʔqsʕnʔ mʔnʔʁ aon fʁʔn njt ɡʕqwqt ʔf fʔolq nʔtsjʔanʔlitʔt ʔadʔʁ ʁʔliɡiʕ hʔobn ʔ ʁʔχt ʔf mʔnaonb lʕbn aon ʔfhʔadʔʔn ʔ mpħh
human_rights_un_yid_ss_64kb_0058	z znʔn bʔʁʔχtiqt ʔf ɡlχʕ ʁʔχt bnvɡʔ mʔnaonblʔvn vʔt z znʔn mʔn aon v aon vm tsʕdn zjχ fwn dʕʁ zjʔɡʔft
human_rights_un_yid_ss_64kb_0059	blz mjt dʕʁ frʔʁ aon fvlʔʁ hskmh fwn ħtn aon klh qʕn mʕn ʔʁn ʔjn zjʔɡʔft
human_rights_un_yid_ss_64kb_0060	dj mpħh ʔjz dʔas nʔtjrklʔχʕ aon ɡʁvntlʔχʔ ʔns fwn dʕʁ ɡʕzʔlʔft aon ʔjz bʔʁʔχtiqt ʔf vts dwrχ dʕʁ ɡʕzʔlʔft aon dwrχ dʕʁ mlvχh
human_rights_un_yid_ss_64kb_0061	ʔrtjql
human_rights_un_yid_ss_64kb_0062	jʕdʕʁ hʔat ʔ ʁʔχt ʔf fʔʁmʔaɡn hʔabaonɡvts ʔj ʔlns ʔj ʔjn vtfwt mjt ʔndʔrʕ
human_rights_un_yid_ss_64kb_0063	fwn qnʔm tʔar mʕn njt ʔʁbjtʁʔri ʔʕqnʕmʔn zn hʔabaonɡvts
human_rights_un_yid_ss_64kb_0064	ʔrtjql
human_rights_un_yid_ss_64kb_0065	jʕdʕʁ hʔat ʔ ʁʔχt ʔf frht fwn trʔχtn ɡʕisn aon ʁʔliɡiʕ
human_rights_un_yid_ss_64kb_0066	dʔas ʁʔχt nʔmt ʔχ ʔʁn dj frht ʔf ʔjvʔrbtn ʁʔliɡiʕ aon ɡlbn aon dj frht ʔadʔʁ ʔln ʔadʔʁ bwtfvt mjt ʔndʔrʕ ʔadʔʁ ʕfʕntlʕχ ʔadʔʁ viħjdvt ʔrszn dj ʁʔliɡiʕ ʔadʔʁ ɡlbn dwrχ lʕʁnʔn pʁʔktik tfilh aon ʔapʁiχtvŋʔn
human_rights_un_yid_ss_64kb_0067	ʔrtjql
human_rights_un_yid_ss_64kb_0068	jʕdʕʁ hʔat ʔ ʁʔχt ʔf frht fwn mnvŋ aon zjχ ʔsdriqn
human_rights_un_yid_ss_64kb_0069	dʔas ʁʔχt nʔmt ʔʁn frht tsw hʔobn mnwŋʕn ʔon tʕrwŋʔn aon tsw zvχn vʔkwmʔn aon ʔivʔrɡʔbn ʔjnfʔaʁmʔtsjʕ aon ɡʕdʔnqʔn dwrχ ʔosʔʁnitʔjz mʔdjwm njt ɡʕqwqt ʔf lʔndɡʁʕnʕtsn
human_rights_un_yid_ss_64kb_0070	ʔrtjql
human_rights_un_yid_ss_64kb_0071	jʕdʕʁ hʔat ʔ ʁʔχt ʔf frht fwn fridlʔχʕr fʔʁzʔmlwŋ aon fʔʁʔnjkwŋ
human_rights_un_yid_ss_64kb_0072	qnʔm tʔar mʕn njt tsjŋn tsw ʕʁn ʔ mjtɡljd fwn ʔosʔʁnitʔjz fʔʁbʔnd
human_rights_un_yid_ss_64kb_0073	ʔrtjql
human_rights_un_yid_ss_64kb_0074	jʕdʕʁ hʔat ʔ ʁʔχt ʔf ʔantl nʕmʔn ʔjn dʕʁ rʕɡjrvŋ fwn zn lʔnd ʔadʔʁ djʁʕqt ʔadʔʁ dwrχ fʁ ʔsɡʔklibʔnʕ rʔpʁʕzʔntʔntn
human_rights_un_yid_ss_64kb_0075	jʕdʕʁ hʔat ʔ ʁʔχt ʔf ɡlχn tsvtʁjt tsw dj ʔnʔordnwŋʔn aon ʔjnstʔntsn fwn zn lʔnd
human_rights_un_yid_ss_64kb_0076	dʕʁ iln fwn dj bʔfʕlqʔrwŋ zʔal zn dʕʁ ɡʁvnt fwn dʕʁ ʔtʔaʁitʔt fwn dʕʁ rʕɡjrvŋ
human_rights_un_yid_ss_64kb_0077	ʔot dʕʁ iln zʔal zn ʔsɡʔdʁjkt dwrχ pʔrjʔodiʔ aon ʔmtdikʕ ʔln ʔjn ʕlχʕ ʕs zʔal zn ʔn aoniʕʁsʔlʔ tjmrʔχt aon ʕlχʕ dʔrfn ɡʕhʔltn ʕʁn dwrχ ɡʕhmin timʔn ʔadʔʁ ɡlχʕrtjkʔ prʔatsʕdwrn fwn frʔʁ ʔoptimwŋ
human_rights_un_yid_ss_64kb_0078	ʔrtjql
human_rights_un_yid_ss_64kb_0079	jʕdʕʁ j ʔ mjtɡljd fwn dʕʁ ɡʕzʔlʔft hʔat ʔ ʁʔχt ʔf sʔotsiʔln fʔrzʔoʁɡ aon ʔjz bʔʁʔχtiqt ʔf mqjim zn dwrχ nʔtsiʔonʔlʔʁ vʔmivŋ aon ʔjntʕrnʔtsiʔonʔlʕr mjtʔʁvʔt aon lt dʕʁ ʔaʁɡʔnizirvŋ aon dj ʁʕswrsn fwn jʕdʕʁ mlvχh dj ʁʔχt ʔj ʔqʔonʔomjʔ ʔj ɡʔzʔlʔftlʔχʔ ʔj kwltwʁʕlʕ ʔos znʔn ntik fʔʁ zn kvwd ʔɡn aon fʔʁ dʕʁ frʔʁ ʔntjqlvŋ fwn zn pʔrzʔnlʔχqt
human_rights_un_yid_ss_64kb_0080	ʔrtjql
human_rights_un_yid_ss_64kb_0081	jʕdʕʁ hʔat ʔ ʁʔχt ʔf ʔʁvʔt ʔfn fʁʔn ʔsqlv fwn vʔʔftjkwŋ ʔf ivrdjkʕ aon ɡjntsjqʔ ʔrbʔtbʔdiŋwŋʔn aon ʔf vts qʔɡn ʔʁvʕtlʔozjqt
human_rights_un_yid_ss_64kb_0082	jʕdʕʁ ʔon qn vm djsqʁimjnʔtsiʕ hʔat ʔ ʁʔχt ʔf ɡlχn ɡʕtsʔalt fʔʁ ɡlχʔr ʔʁvʔt
human_rights_un_yid_ss_64kb_0083	jʕdʕʁ ʔos ʔʁvʔt hʔat ʔ ʁʔχt ʔf jvrdikn aon ɡintsjqn ɡʕtsʔalt ʔos zʔal fʔrzjχʔrn ʔjm aon zn mpħh ʔn ʕkzjstʔnts ʔos pʔst tswm mʔntlʕχn kvwd mjt ʔ tsvɡʔav ʔv ntik fwn ʔndʔrʕ mjtlʔn fwn ɡʔzʕlʔftlʔχʔr fʔrzjχʔrwŋ
human_rights_un_yid_ss_64kb_0084	jʕdʕʁ hʔat ʔ ʁʔχt ʔf fʔormjʁn aon ʕʁn ʔ mjtɡljd fwn pʁʔoffʔrnʕn kdi tsw fʔrtdjqn znʕ ʔjntʔʁʕsn
human_rights_un_yid_ss_64kb_0085	ʔrtjql
human_rights_un_yid_ss_64kb_0086	jʕdʕʁ hʔat ʔ ʁʔχt ʔf ʁw aon ʔf frtst ʔʁŋʔʁʕχnt dʔas ʁʔχt ʔf ʔ ɡʔhʔʁiqʔr vʔɡʁʔnʕtsvŋ fwn ʔʁbʔtsʕhʔn aon pʔrjʔodiʔ vʔtsʔoltʔ ʔkʔtsjʕs
human_rights_un_yid_ss_64kb_0087	ʔrtjql
human_rights_un_yid_ss_64kb_0088	jʕdʕʁ hʔat ʔ ʁʔχt ʔf ʔ lʕbnstɡʕr ɡʕnvɡndiq ʔfn ɡʕzvnt aon lzn fwn zjχ aon fwn dʕʁ mpħh ʔnlisndjq ʕsnʔrɡ kldʔr bʔhzvŋ mʕditsiniʔ fʔʁzʔarɡn aon ntjqʕ sʔatsiʔlʕ fʔʁzʔarɡn aon ʔ ʁʔχt ʔf zjχʔʁkt ʔjn fʔl fwn ʔʁvʕtlʔozjqt qʁʔnkt fʔʁqʁiplwŋ ʔlmnhʔft tifn ʔltʔr ʔadʔʁ fʔln fwn pʁnsh ʔjn aomtʔndn ʔos znʔn ʔsʔr zn kʔantʁʔal
human_rights_un_yid_ss_64kb_0089	mʔmʔs aon qjndʕʁ znʔn bʔʁʔχtiqt ʔf bʔzvndʕʁn ʔophjt aon hilf
human_rights_un_yid_ss_64kb_0090	ʔlʕ qjndʕʁ tsj dj mʔmʕ hʔat χtvnh ɡʔhʔt tsj njt zʔaln ɡʕnisn fwn dʕʁ zʕlvjqʕr ɡʔzʕlʔftlʔχʔr bʔjtsvŋ
human_rights_un_yid_ss_64kb_0091	ʔrtjql
human_rights_un_yid_ss_64kb_0092	jʕdʕʁ hʔat ʔ ʁʔχt ʔf dʔrtsivŋ
human_rights_un_yid_ss_64kb_0093	dʔrtsivŋ zʔal zn aomzjst lpħvt ʔjn dj ʕlʔmʔntʔʁjʔ aon fwndʔmʔntʔlʔ stʔdjʔs
human_rights_un_yid_ss_64kb_0094	ʕlʔmʕntʔʁʔ dʔrtsivŋ zʔal zn ʔovljɡʔtʔoʁj
human_rights_un_yid_ss_64kb_0095	tʕχniʔ aon fʔχmʔnʔrjʕ dʔrtsivŋ zʔaln vʁt tswɡʕtʕlt ʕʁn aon hʔχʔrʕ vildvŋ dʔrf zn tswtʁitlʔχ tsw ʔlʕmʔn ltn ʔqʔdʔmjn ʕʁt
human_rights_un_yid_ss_64kb_0096	dʕʁ tsjl fwn dʔrtsivŋ zʔal zn dj fwlfʔχjqʕ ʔntjqlvŋ fwn dʕʁ mʕntjʕʁ pʔrzʔnlʔχqt aon dj fʔrtʔrkvŋ fwn rʕspʔqt tsw mʔntnʁʕχt aon ɡʁvntlʔχʔ frhtn
human_rights_un_yid_ss_64kb_0097	dj dʔrtsivŋ zʔal dʔrmvtikn fʔrtʔnd tʔolʕʁʔnts aon fʁndʔft tsjn ʔlʕ fʔlkʔʁ ʁʔsn aon ʁʕljɡiʔzʕ ɡʁwpʔs aon zʔal aontʕʁtjtsn dj ʔqtijtʔtn fwn dj fʔʁʔniktʕ fʔlkʔʁ ʔf ʔstswhʔltn lvm
human_rights_un_yid_ss_64kb_0098	dj ʕltʕrn hʔobn ʔ ʁʔχt ʔf ʔsqlbn ʔjn fʔors ʔos fʔʁ ʔ dʔrtsivŋ zʔrʕ qjndʕʁ zʔaln vʔkwmʔn
human_rights_un_yid_ss_64kb_0099	ʔrtjql
human_rights_un_yid_ss_64kb_0100	jʕdʕʁ hʔat ʔ ʁʔχt vʔtlikn zjχ ʔf ʔ fʁʔn ʔfn ʔjn dʕm qvltwʁʕln lʕbn fwn dʕʁ qhilh hnʔh hʔobn fwn qvnts aon hʔobn ʔ χlk ʔjn isnʔftlʔχʕ ʔʔnsiʁvŋʔn aon ʔirʕ vʕnʕfjtn
human_rights_un_yid_ss_64kb_0101	jʕdʕʁ hʔat ʔ ʁʔχt ʔf dʕʁ bʔjtsvŋ fwn znʕ mʔorʔljʔ aon finʔntsjʕlʔ ʔjntʔʁʕsn ʔos qwmʔn ʔʁs fwn zn jsnʔftlʕχʕʁ litʔrʔriʔʁ ʔadʔʁ kjntslʕχʕr pʁʔadvktsiʔ
human_rights_un_yid_ss_64kb_0102	ʔrtjql
human_rights_un_yid_ss_64kb_0103	jʕdʕʁ hʔat ʔ ʁʔχt ʔf ʔ ɡʔzʕlʔftlʔχʔr aon ʔjntʕrnʔtsiʔonʔlʕr ʔoʁdnvŋ mjt ʔlχʔr dj ʁʔχt aon frhtn fʔrtsχnt ʔjn ʔot dʕʁ dʕklʔrʔtsjʔ zʔaln hʔobn ʔ fwltʕndjkn qjvm
human_rights_un_yid_ss_64kb_0104	ʔrtjql
human_rights_un_yid_ss_64kb_0105	jʕdʕʁ hʔat ħwvvt tsw dʕʁ ɡʕzʔlʔft ʔos nʔar ʔjn ʔjʁ qʕn zjχ fʁ aon fwltʕndjk ʔntjqlʔn zn pʔrzʔnlʔχqt
human_rights_un_yid_ss_64kb_0106	vm ʔsnitsn zjχ mjt znʕ ʁʔχt aon frhtn zʔal jʕdʕʁ zn vʔɡrʕnʕtst blz ʔf ifl dj ɡʕzʔts zʔal bʔtimʕn kdi dj ʁʔχt aon frhtn fwn ʔndʔrʕ mʕntn zʔaln ʔχ vʔkwmʔn pʔsjkʕ rʕspʔqt aon kvwd aon tsvliv dj ivrdjkʕ fʔadʕrvŋʕn fwn mʔorʔljkt fwn ʔfʔntlʕχʕr ʔoʁdnvŋ aon fwn ʔlɡʕmnʔm lzn ʔos znʔn ɡiltiq ʔjn ʔ dʔmʔoqrʔtiʕʁ ɡʕzʔlʔft
human_rights_un_yid_ss_64kb_0107	ʔjn qn vm fʔl tʔar mʕn zjχ njt ʔsnitsn mjt djʔo ʁʔχt aon frhtn ʔjn kʕɡntʔl tsw dj tsiln aon pʁjntsjpn fwn dj fʔʁʔniktʕ fʔlkʔʁ
human_rights_un_yid_ss_64kb_0108	ʔrtjql
human_rights_un_yid_ss_64kb_0109	ɡʔoʁnit ʔjn dʕʁ dʔozikʕr dʕklʔrʔtsjʔ tʔar mʕn njt ttn mjt dʕʁ ʔimpljkʔtsiʕ ʔz ʔosʔʁnitʔjz mlvχh ɡʁwpʕ tsj mʔnt hʔat ʔ ʁʔχt ʔf fʔrnʔmʕn zjχ mjt ʔosʔʁnitʔjz ʔqtjitʔt ʔadʔʁ ʔsfjrn ʔosʔʁnitʔjz ʔqt ʔos ʔjz ɡʕtsilt ʔf dʕʁ tsʔtʔrvŋ fwn ʔlχnnjtʔiz fwn dj ʁʔχt aon frhtn ʔos znʔn fʔrtsχnt dʔo ʔvn
human_rights_un_yid_ss_64kb_0110	ʔibʔrɡʔzʕtst ʁfʔl fjnkl lvm vʕʁɡʔr
