human_rights_un_fri_sn_64kb_0001	ˈyːniːvɛrzˈeːlə fɛrkleːjˈɑrɪŋ fˈɛn də rjɔxtə fˈɛn də mˈɪnskə
human_rights_un_fri_sn_64kb_0012	kst
human_rights_un_fri_sn_64kb_0013	ɑlə mˈɪnskə ʋˈʉrdə frɛɪ ˈɛn xəlˈɪk jn ʋˈeːɑrdəɣəns ˈɛn rjɔxtə bˈɛrnə
human_rights_un_fri_sn_64kb_0014	hjaː hɒːʋə fɛrstn ˈɛn xəʋˈɪsə mˈɛɪkrəɣə ˈɛn hˈɛˈɑrə hˈɑr foːɑr ɪnoːɑr ˈuːr jn ˈɪn xəɑst fˈɛn brˈʉɔrskɪp tə hldə ˈɛn tə drˈaːɣə
human_rights_un_fri_sn_64kb_0015	kst
human_rights_un_fri_sn_64kb_0016	eːlk hɑt oːɑnspraːk ˈɔp ˈɑlə rjɔxtə ˈɛn frˈɛɪheːdə jn dˈɪzə fˈeːəlˈɑrɪŋ ˈɔpneːɑmt sndər hˈɔkər ndərskiː ɛk mˈɑr liːkɑs rˈɑs klˈøːr slˈɑxtə tˈaːl xˈɔtstʃˈɪnst poːliːtiːkə ˈɔf oːʋˈaːrə ˈuːrtʃɣɪŋ nˈaːsjoːnˈaːl ˈɔf mˈaːtskiːplɪk kɔmf ˈɛɪɣədɔm bˈɛrtə ˈɔf oːʋˈaːrə stˈaːtʉs
human_rights_un_fri_sn_64kb_0017	fˈiːrdər sˈɪl xjɪn ndərskiː mˈɑkə ʋˈʉrdə nˈɛɪ poːliːtiːkə jyːriːdˈɪskə ˈɔf jntɛrnˈaːsjoːnˈaːlə stˈaːtʉs fˈɛn ɪt ln ˈɔf xəbˈiːt drt ɪmə taː hˈeːɑrt liːkˈɛfɔlə ˈɑs ɪt ɔm ˈɪn nfhɪŋklɪk trˈʉst# ˈɔf nˈɛt sˈɛlzbəstjuːrənt xəbˈiːt xˈiːt ˈɔf ˈɑs dˈɛr ˈɪn oːʋˈaːrə bəhˈɛɪnɪŋ fˈɛn ˈeːjə svərɛɪniːtˈɛɪt bəstˈiːt
human_rights_un_fri_sn_64kb_0018	kst
human_rights_un_fri_sn_64kb_0019	eːlk hɑt rjɔxt ˈɔp lˈɪbə frɛɪhɛɪt ˈɛn nskɛɪmbərˈɛns fˈɛn siːn pərsˈoːɑn
human_rights_un_fri_sn_64kb_0020	kst
human_rights_un_fri_sn_64kb_0021	nˈɪmə sˈɪl jn slaːvəmɛɪ ˈɔf hˈɛˈɑrəɣəns hldə ʋˈʉrdə
human_rights_un_fri_sn_64kb_0022	slaːvərnˈɛɪ ˈɛn slˈaːvəhˈɑnəl jn ˈɛlkə foːɑrm bˈɪnə fɛrbəɑn
human_rights_un_fri_sn_64kb_0023	kst
human_rights_un_fri_sn_64kb_0024	nˈɪmə sˈɪl ndərʋˈʉrpə ʋˈʉrdə oːʋˈaːn fˈɔltərɪŋə nˈɔx oːʋˈaːn ˈɪn ʋrˈeːdə nmɪnslɑjk ˈɔf ntəɑrjəndə bəhˈɑnəlɪŋ ˈɔf bəstrˈɑfɪŋ
human_rights_un_fri_sn_64kb_0025	kst
human_rights_un_fri_sn_64kb_0026	eːlk hɑt ʋrt ˈɛr ɛk ˈɪs ɪt rjɔxt ɔm ˈɑs pərsˈoːɑn ˈɛrkənt tə ʋˈʉrdə foːɑr də ʋɛt
human_rights_un_fri_sn_64kb_0027	kst
human_rights_un_fri_sn_64kb_0028	eːlkˈeːniːjə ˈɪs xəlˈɪk foːɑr də ʋɛt ˈɛn hɑt sndər ndərskiːt oːɑnspraːk ˈɔp xəlˈɪkəsə bəskɛrmɪŋ trˈɔx də ʋɛt
human_rights_un_fri_sn_64kb_0029	eːlk hɑt rjɔxt ˈɔp xəlˈɪkəsə bəskɛrmɪŋ tʃˈɪn ˈɛlkə ˈɛftərstɛlɪŋ jn strˈɪɪt mˈɛɪ dˈɪzə fˈeːəlˈɑrɪŋ ˈɛn tʃˈɪn ˈɛlkə ˈɔɑrn taː sˈɑˈən ˈɛftərstɛlɪŋ
human_rights_un_fri_sn_64kb_0030	kst
human_rights_un_fri_sn_64kb_0031	eːlk hɑt rjɔxt ˈɔp duːltrˈɛfəndə rjˈɔxtshɛlp fˈɛn fˈuːxhɒːʋəndə nˈaːsjoːnˈaːlə rjˈɔxtlɑjk jnstnsjəs tʃˈɪn hɑnlɪŋə diːt jn strˈɪɪt bˈɪnə mˈɛɪ də xrnrjɔxtə hˈɪm tˈaːkənt biː xrnʋɛt ˈɔf ʋɛt
human_rights_un_fri_sn_64kb_0032	kst
human_rights_un_fri_sn_64kb_0033	nˈɪmə sˈɪl ndərʋˈʉrpə ʋˈʉrdə oːʋˈaːn ɛɪɣəʋˈɪləɣə ɑrəstˈaːsjə deːtiːnsjə ˈɔf fɛrbˈɑnɪŋ
human_rights_un_fri_sn_64kb_0034	kst
human_rights_un_fri_sn_64kb_0035	eːlk foːɑr oːɑr hɑt rjɔxt ˈɔp ˈɪn ˈiːrlɑjk ˈɛn ˈiːpəbjˈɛːrə bəhˈɑnlɪŋ fˈɛn siːn sˈaːk trˈɔx ˈɪn nfhɪŋklɑjk ˈɛn mpɑrtiːdəɣə rjˈɔxtlɑjk jnstnsjə biː ɪt fststɛlə fˈɛn siːn rjɔxtə ˈɛn fɛrplˈɪxtɪŋs ˈɛn biː ɪt bəpaːlə fˈɛn ɪt xrndəɑrə ʋzə fˈɛn ˈɪn tʃˈɪn hˈɪm jnstɛldə strˈɑfərfɔlɣɪŋ
human_rights_un_fri_sn_64kb_0036	kst
human_rights_un_fri_sn_64kb_0037	eːlk diːt foːɑr ˈɪn strˈɑvbər fˈɛɪt fɛrfɔlɣə ʋˈʉrt hɑt dˈɛr rjɔxt ˈɔp ɔm foːɑr nskˈʉldɪx hldə tə ʋˈʉrdə oːɑnt siːn skˈʉlt t krft fˈɛn ˈeːjə ʋɛt bəʋˈɪjst ʋˈʉrt jn ˈɪn ˈiːpəbjˈɛːrə tərjˈɔxtsɪtɪŋ drt hˈɪm ˈɑlə ʋˈaːrbɒːrɣə nˈeːdɪx foːɑr siːn fɛrdəɣənɪŋ biː tˈaːkənt bˈɪnə
human_rights_un_fri_sn_64kb_0038	nˈɪmə sˈɪl foːɑr skˈʉldɪx hldə ʋˈʉrdə oːʋˈaːn hˈɔkfoːɑr strˈɑfrjˈɔxtlɪk fɛrɣriːp ɛk ˈɔp xrn fˈɛn hˈɔkər hɑnlɪŋ ˈɔf fˈœːrsɔm ɛk dˈɑt nˈɛfəns nˈaːsjoːnˈaːl ˈɔf jntɛrnˈaːsjoːnˈaːl rjɔxt xjɪn strˈɑfrjˈɔxtlɪk fɛrɣriːp bˈɛtsjʉtə ˈɔp ɪt stˈœɪt dˈɑt diː hɑnlɪŋ ˈɔf dˈɑt fˈœːrsɔm bəɣˈiːn ʋaːrt
human_rights_un_fri_sn_64kb_0039	lˈiːkəmˈɪn sˈɪl ˈɪn sʋiːrdərə strˈɑf ˈɔplɛɪn ʋˈʉrdə ˈɑs də strˈɑf diːt fˈɛn tˈɑpɑsɪŋ ʋˈiː ˈɔp ɪt stˈœɪt dˈɑt ɪt strˈɑvbərə fˈɛɪt bəɣˈiːn ʋaːrt
human_rights_un_fri_sn_64kb_0040	kst
human_rights_un_fri_sn_64kb_0041	nˈɪmə sˈɪl ndərʋˈʉrpə ʋˈʉrdə oːʋˈaːn oːɑrmɑns ɛɪɣəʋˈɪlɪx jnmɪŋə jn siːn pərsˈoːɛnlɑjk oːɑŋɣəleːɣəheːdə jn siːn hʃldɪŋ siːn ts ˈɔf siːn brˈiːfʋɪksəl nˈɔx iːjə ˈɔf oːʋˈaːrə ˈɔɑˈaːstɪŋ fˈɛn siːn eːjaːrə ˈɔf xuːdə nˈɑmə
human_rights_un_fri_sn_64kb_0042	eːlk hɑt rjɔxt ˈɔp bəskɛrmɪŋ trˈɔx də ʋɛt tʃˈɪn sˈɔk ɪmnɪŋə ˈɔf ˈɔɑˈaːstə
human_rights_un_fri_sn_64kb_0043	kst
human_rights_un_fri_sn_64kb_0044	eːlk hɑt ɪt rjɔxt ɔm hˈɪm frɛɪ tə fɛrplˈiːtsə ˈɛn tə fərblˈɪyːʋə bˈɪnə də xrˈɪnzə fˈɛn ˈɛlkə steːjɑt
human_rights_un_fri_sn_64kb_0045	eːlk hɑt ɪt rjɔxt ɔm ˈɛlk ln siːn ˈɛɪɣə jmbəɣrˈeːpə tə fɛrlɪtə ˈɛn jn siːn ln ʋˈɛrɔm tə kˈɔmə
human_rights_un_fri_sn_64kb_0046	kst
human_rights_un_fri_sn_64kb_0047	eːlk hɑt ɪt rjɔxt ɔm jn oːʋˈaːrə lɑnə aːsɪl tə frˈeːɣjə ˈɛn tə hɒːʋə tʃˈɪn fɛrfɔlɣɪŋ
human_rights_un_fri_sn_64kb_0048	ɔp dˈɑt rjɔxt kˈɪn xjɪn bərˈɔp dˈiːn ʋˈʉrdə jn xəfɑl fˈɛn strˈɑfərfɔlɣɪŋs fɑnʋeːɣə mɪzdrɑjyːʋə fˈɛn nˈɛt#poːliːtiːkə ˈaːrt ˈɔf hɑnlɪŋs jn strˈɪɪt mˈɛɪ də dˈuːlə ˈɛn bəɣjɪnsəls fˈɛn ˈeːjə feːrˈiːnə naːsjəs
human_rights_un_fri_sn_64kb_0049	kst
human_rights_un_fri_sn_64kb_0050	eːlk hɑt rjɔxt ˈɔp ˈɪn nˈaːsjoːnaːliːtˈɛɪt
human_rights_un_fri_sn_64kb_0051	nˈɪmə mˈɛɪ ɛɪɣəʋˈɪlɪx siːn nˈaːsjoːnaːliːtˈɛɪt ntnɔmə ʋˈʉrdə nˈɔx ɪt rjɔxt ntsɛɪn ʋˈʉrdə fˈɛn nˈaːsjoːnaːliːtˈɛɪt tə feːroːʋɑrjə
human_rights_un_fri_sn_64kb_0052	kst
human_rights_un_fri_sn_64kb_0053	sndər iːjə ˈɔf oːʋˈaːrə bəhˈɛɪnɪŋ ˈɔp xrn fˈɛn rˈɑs nˈaːsjoːnaːliːtˈɛɪt ˈɔf xˈɔtstʃˈɪnst hɒːʋə mˈɑnljˈyː ˈɛn fruːljˈyː ˈɑs sə də jˈiːrə drtaː hɒːʋə ɪt rjɔxt ɔm tə trɯʋə ˈɛn ˈɪn xəsˈɪn tə stˈɪxtʃə
human_rights_un_fri_sn_64kb_0054	hjaː hɒːʋə xəlˈɪkəsə rjɔxtə ʋˈɑt trɯʋə oːʋˈɑmbəlɑŋɛt jn hˈɑr trɯʋə ˈɛn biː də ndbˈɪnɪŋ drfɑn
human_rights_un_fri_sn_64kb_0055	ɪn hɯlɪk kˈɪn ɑlˈɪnə slˈɛtə ʋˈʉrdə mˈɛɪ də frɛɪjə ˈɛn fˈɔlsleːjˈiːnə tˈɑstɪmɪŋ fˈɛn ˈɛlk siːn oːʋˈaːrə hˈɛltə
human_rights_un_fri_sn_64kb_0056	lt xəsˈɪn ˈɪs də naːtyːʋˈɛrlɑjk ˈɛn fneːmɪntˈeːlə xrˈuːpsiːjəhɛɪt fˈɛn ˈeːjə mˈaːtskɪpɛɪ ˈɛn hɑt rjɔxt ˈɔp bəskɛrmɪŋ trˈɔx də mˈaːtskɪpɛɪ ˈɛn də steːjɑt
human_rights_un_fri_sn_64kb_0057	kst
human_rights_un_fri_sn_64kb_0058	eːlk hɑt rjɔxt ˈɔp ˈɛɪɣədɔm ˈiːɛɪ ɑlˈɪnə ˈiːɛɪ jn ˈeːjə mˈɑndə mˈɛɪ oːʋˈaːrə
human_rights_un_fri_sn_64kb_0059	nˈɪmə mˈɛɪ saːmˈaːr fˈɛn siːn ˈɛɪɣədɔm bˈɛrvə ʋˈʉrdə
human_rights_un_fri_sn_64kb_0060	kst
human_rights_un_fri_sn_64kb_0061	eːlk hɑt rjɔxt ˈɔp frɛɪhɛɪt fˈɛn tˈɪŋkə xəʋˈɪsə ˈɛn xˈɔtstʃˈɪnst
human_rights_un_fri_sn_64kb_0062	dˈɑt rjɔxt hlt tˈɛfəns də frɛɪhɛɪt jn ɔm fˈɛn xˈɔtstʃˈɪnst ˈɔf ˈuːrtʃɣɪŋ tə feːroːʋɑrjə ˈɛn də frɛɪhɛɪt ɔm f ɑlˈɪnə f jn ˈeːjə mˈɑndə mˈɛɪ oːʋˈaːrə sˈaːʋɔl jn ɪt ˈiːpəbiːr ˈɑs jn ɪt pɑrtˈiːkyːlˈiːrə lˈɪbə foːɑr siːn xˈɔtstʃˈɪnst ˈɔf ˈuːrtʃɣɪŋ t tə kˈɔmə trˈɔx diː tə ndərʋiːzə trˈɔx ɪt prˈɑktiːsk tˈɑpɑsə trˈɔx ˈiːrətʃˈɪnst ˈɛn ɪt ndərhldə fˈɛn xəbˈɔˈaːdə ˈɛn foːɑrskrɪftə
human_rights_un_fri_sn_64kb_0063	kst
human_rights_un_fri_sn_64kb_0064	eːlk hɑt rjɔxt ˈɔp frɛɪhɛɪt fˈɛn mˈiːnɪŋ ˈɛn mˈiːnɪŋsyːtˈeːrɪŋ
human_rights_un_fri_sn_64kb_0065	dɑt rjɔxt hlt də frɛɪhɛɪt jn ɔm sndər jnmɪŋɪŋ ˈɪn mˈiːnɪŋ tə hɒːʋə ˈɛn ɔm trˈɔx ˈɑlə mˈɪdəls ˈɛn sndər xrˈɪnzə ˈɑxt tə slˈaːn jnljˈɔxtɪŋs ˈɛn tˈɪŋɡbiːldə ˈɔp tə spˈɔaːrə tə ntfɑŋə ˈɛn trˈɔx tə jˈaːn
human_rights_un_fri_sn_64kb_0066	kst
human_rights_un_fri_sn_64kb_0067	eːlk hɑt rjɔxt ˈɔp frɛɪhɛɪt fˈɛn frˈeːtsyːmə feːrˈiːnɪŋ ˈɛn xəɑrkɔmstə
human_rights_un_fri_sn_64kb_0068	nˈɪmə mˈɛɪ tʋɔŋə ʋˈʉrdə ɔm biː ˈɪn feːrˈiːnɪŋ tə hˈɛˈɑrə
human_rights_un_fri_sn_64kb_0069	kst
human_rights_un_fri_sn_64kb_0070	eːlk hɑt ɪt rjɔxt ɔm dˈiːl tə nˈɪmə oːʋˈaːn ɪt bəstjuːr fˈɛn siːn ln strˈeːkrjɔxt ˈɔf trˈɔx frɛɪ kˈɛˈaːzə fɛrtʃˈɪntʋˈʉrdəɣərs
human_rights_un_fri_sn_64kb_0071	eːlk hɑt ɪt rjɔxt ɔm ˈɔp fuːt fˈɛn xəlˈɪkəsəns tˈaːlɪtə tə ʋˈʉrdə taː də ˈuːrhɛɪtstʃˈɪnstə fˈɛn siːn ln
human_rights_un_fri_sn_64kb_0072	deː ʋˈɪl fˈɛn ɪt fˈoːk sˈɪl də xrnslɑx ʋzə fˈɛn ɪt xəsɑx fˈɛn ɪt rˈeːɣəɑr
human_rights_un_fri_sn_64kb_0073	diː ʋˈɪl sˈɪl taː yːtˈeːrɪŋ kˈɔmə jn peːriːjoːdiːkə ˈɛn ˈiːrlɑjk fɛrkˈiːzɪŋs diːt hldə ʋˈʉrdə sˈɪlə t krft fˈɛn ɑlɣəmˈiːn ˈɛn liːkʋəɑrdˈɪx kˈiːsrjɔxt ˈɛn biː xəhˈɛɪmə stˈɪmɪŋs ˈɔf nˈɛfəns ˈɪn proːzədyːʋˈeːrə diːt krˈɛktlɪkəɣuːt bˈɒːrʃ stˈiːt foːɑr də frɛɪhɛɪt fˈɛn stˈɪmə
human_rights_un_fri_sn_64kb_0074	kst
human_rights_un_fri_sn_64kb_0075	eːlk hɑt ˈɑs lˈɪt fˈɛn ˈeːjə mˈiːnskɪp rjɔxt ˈɔp mˈaːtskiːplɑjk ʋˈɪsəɣəns ˈɛn hɑt dˈɛr oːɑnspraːk ˈɔp dˈɑt trˈɔx nˈaːsjoːnˈaːlə jnspɑnɪŋ ˈɛn jntɛrnˈaːsjoːnˈaːlə xəɑrʋʉrkɪŋ ˈɛn jn ˈuːriːnstɪmɪŋ mˈɛɪ də ɔrɣaːniːzaːɑsjə ˈɛn də hˈɛlpbɒːrnə fˈɛn ˈeːjə oːʋˈɑmbəlɑxjəndə steːjɑt də eːkˈɔnəmiːskə sˈɔʃaːlə ˈɛn kˈʉltyːrˈeːlə rjɔxtə diː t nmˈiːbər bˈɪnə foːɑr siːn ʋˈeːɑrdɪxhɛɪt ˈɛn foːɑr ɪt frɛɪ ntploːʋˈɑjə fˈɛn siːn pərsˈoːɑnlɪkhɛɪt fɛrʋzətlɑjk ʋˈʉrdə
human_rights_un_fri_sn_64kb_0076	kst
human_rights_un_fri_sn_64kb_0077	eːlk hɑt rjɔxt ˈɔp ʋˈʉrk ˈɔp frɛɪjə kɑr fˈɛn bərˈɔp ˈɔp rjˈɔxtrnjˈɪtəɣə ˈɛn xəˈʉnstəɣə ˈɑrbɛɪts#bˈeːtɪŋstə ˈɛn ˈɔp bəskɛrmɪŋ tʃˈɪn ʋˈʉrkleːjˈaːzəns
human_rights_un_fri_sn_64kb_0078	eːlk hɑt sndər iːjə ˈɔf oːʋˈaːrə beːnəftərstɛlɪŋ rjɔxt ˈɔp ˈɪtsəldə lˈiːn foːɑr ˈɪtsəldə ʋˈʉrk
human_rights_un_fri_sn_64kb_0079	eːlk diːt ʋˈʉrk dˈɔxt hɑt rjɔxt ˈɔp ˈɪn rjɔxtfˈiːrdəɣə ˈɛn xəˈʉnstəɣə bəlˈɛˈɑnɪŋ diːt hˈɪm ˈɛn siːn hʃldɪŋ ˈɪn mˈɪnskʋɛɑrdˈɪx bəstˈeːɑn mˈoːɣlɪk mˈɑkət
human_rights_un_fri_sn_64kb_0080	diː bəlˈɛˈɑnɪŋ sˈɪl saː nˈeːdɪx mˈɛɪ oːʋˈaːrə mˈɪdəls fˈɛn sˈɔʃaːlə bəskɛrmɪŋ oːʋˈaːnfɔlə ʋˈʉrdə
human_rights_un_fri_sn_64kb_0081	eːlk hɑt ɪt rjɔxt ɔm fˈɑkfeːrˈiːnɪŋs ˈɔp tə rjɔxtʃə ˈɛn hˈɪm dr biː oːʋˈaːn tə slˈyːtə ɔm siːn bəlˈɑŋə tə bəskɛrmjə
human_rights_un_fri_sn_64kb_0082	kst
human_rights_un_fri_sn_64kb_0083	eːlk hɑt rjɔxt ˈɔp rst ˈɛn frɛɪjə tˈɑjɪt mˈɛɪ jmbəɣriːp fˈɛn ˈɪn riːdlɑjk bəhˈɛɪnɪŋ fˈɛn ˈeːjə ˈɑrbɛɪtstɪɪt ˈɛn peːriːjoːdiːkə fˈaːknsjəs mˈɛɪ bəhlt fˈɛn lˈiːn
human_rights_un_fri_sn_64kb_0084	kst
human_rights_un_fri_sn_64kb_0085	eːlk hɑt rjɔxt ˈɔp ˈɪn lˈɪbəstɑndərt diːt hˈeːʃ xənʃ ˈɪs foːɑr də snˈɛns ˈɛn ɪt ʋˈɔlʋzə fˈɛn hˈɪmsəls ˈɛn siːn hʃldɪŋ drndər bəɣrˈeːpə iːtə klˈɛən hsfɛstɪŋ ˈɛn mədiːskə fɛrsoːɑrɣɪŋ ˈɛn nˈeːtsaːklɑjk sˈɔʃaːlə tʃˈɪnstə ˈɛn rjɔxt ˈɔp fɒːrʃɛnɪŋ jn xəfɑl fˈɛn ʋˈʉrkleːjˈaːzəns sˈɪktə jnvaːliːdiːtˈɛɪt fɛrsjərə fˈɛn ˈeːjə oːʋˈaːrə hˈɛltə ldərdɔm ˈɔf ˈɪn oːɑr xəmˈɪs oːʋˈaːn bəstˈeːɑnsmɪdəls trˈɔx ˈɔmstɑnˈiːʃheːdə btə siːn ʋˈɪl
human_rights_un_fri_sn_64kb_0086	mɛrn ˈɛn bɛrn hɒːʋə rjɔxt ˈɔp biːsndərə soːɑrx ˈɛn biːstn
human_rights_un_fri_sn_64kb_0087	ɑlə bɛrn ɑl ˈɔf nˈɛt ʋˈɛtlɪk sˈɪlə ndər dˈeːsəldə sˈɔʃaːlə bəskɛrmɪŋ fˈɑlə
human_rights_un_fri_sn_64kb_0088	kst
human_rights_un_fri_sn_64kb_0089	eːlk hɑt rjɔxt ˈɔp ndərʋˈɪˈiː
human_rights_un_fri_sn_64kb_0090	ɪt ndərʋˈɪˈiː sˈɪl fɛrʒˈeːs ʋzə tˈɛmɪnstə ʋˈɑt ɪt lˈeːɣər ˈɛn bˈaːzəsndərʋˈɪˈiː oːʋˈɑmbəlɑŋɛt
human_rights_un_fri_sn_64kb_0091	iːt lˈeːɣər ndərʋˈɪˈiː sˈɪl fɛrplˈɪxtə ʋzə
human_rights_un_fri_sn_64kb_0092	bˈɛrɔpsndərʋˈɪˈiː ˈɛn bərˈɔpsɔpliːdɪŋ sˈɪlə ɑlɣəmˈiːn bˈɛskˈɪɡbər stˈɛlt ʋˈʉrdə
human_rights_un_fri_sn_64kb_0093	heːɣər ndərʋˈɪˈiː sˈɪl liːkɔp ˈiːpəsteːjˈɑn foːɑr ˈɛlk diːt dr də kaːpaːziːtɛɪtə foːɑr hɑt
