human_rights_un_cze_msed_64kb_0001	vʃɛobɛtsnaː dɛklaratsɛ ldskiːtsɦ praːv
human_rights_un_cze_msed_64kb_0012	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0013	kaʒdiː maː praːvo na ʒjɪvoc svobodu a osobɲiː bɛzpɛtʃɲosc
human_rights_un_cze_msed_64kb_0014	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0015	njɪkdo nɛsmiː biːc drʒɛn v ocrotscviː nɛbo nɛvolɲjɪtscviː
human_rights_un_cze_msed_64kb_0016	vʃɛxnɪ formɪ ocrotscviː a obxodu s ocrokɪ jsou zakaːzaːnɪ
human_rights_un_cze_msed_64kb_0017	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0018	njɪkdo nɛsmiː biːc mutʃɛn nɛbo podrobovaːn krucɛːmu nɛljɪdskɛːmu nɛbo ponjɪʒujjiːtsjiːmu zaxaːzɛɲiː nɛbo trɛscu
human_rights_un_cze_msed_64kb_0019	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0020	kaʒdiː maː praːvo na co abɪ bɪla vʃudɛ uzɲaːvaːna jɛɦo praːvɲiː osobɲosc
human_rights_un_cze_msed_64kb_0021	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0022	vʃjɪxɲɪ jsou sɪ pr̝ɛd zaːkonɛm rovɲɪ a majiː praːvo na stɛjnou oxranu zaːkona bɛz jakɛːɦokolɪ rozljɪʃovaːɲiː
human_rights_un_cze_msed_64kb_0023	vʃjɪxɲɪ majiː praːvo na stɛjnou oxranu procɪ jakɛːkolɪ djɪskrjɪmjɪnatsɪ kcɛraː poruʃujɛ tuco dɛklaratsɪ a procɪ kaʒdɛːmu podɲjɛtsovaːɲiː k cakovɛː djɪskrjɪmjɪnatsɪ
human_rights_un_cze_msed_64kb_0024	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0025	kaʒdiː maː praːvo abɪ mu pr̝jiːsluʃnɛː vɲjɪtroscaːcɲiː soudɪ poskɪclɪ uːtʃjɪnnou oxranu procɪ tʃjɪnuːm poruʃujjiːtsjiːm zaːkladɲiː praːva kcɛraː jsou mu pr̝jɪznaːna uːscavou nɛbo zaːkonɛm
human_rights_un_cze_msed_64kb_0026	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0027	njɪkdo nɛsmiː biːc svɛːvolɲɛ zactʃɛn drʒɛn vɛ vazbɛ nɛbo vɪɦoʃcjɛn do vɪɦnaɲscviː
human_rights_un_cze_msed_64kb_0028	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0029	kaʒdiː maː uːplɲɛ stɛjnɛː praːvo abɪ bɪl spravɛdljɪvɛ a vɛr̝ɛjɲɛ vɪslɛxnuc nɛzaːvjɪsliːm a nɛstraɲniːm soudɛm kcɛriː rozɦodujɛ buɟ o jɛɦo praːvɛx a povjɪnnoscɛx nɛbo o jakɛːmkolɪ trɛscnjiːm obvjɪnjɛɲiː vzɲɛsɛnɛːm procɪ njɛmu
human_rights_un_cze_msed_64kb_0030	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0031	kaʒdiː kdo jɛ obvjɪnjɛn z crɛscɲɛːɦo tʃjɪnu povaʒujɛ sɛ za nɛvjɪɲnɛːɦo dokud nɛɲiː zaːkoɲniːm poscupɛm prokaːzaːna jɛɦo vjɪna vɛ vɛr̝ɛjnɛːm r̝jiːzɛɲiː v njɛmʒ mu bɪlɪ zajjɪʃtjɛnɪ vɛʃkɛrɛː moʒnoscɪ obɦajobɪ
human_rights_un_cze_msed_64kb_0032	njɪkdo nɛsmiː biːc odsouzɛn pro tʃjɪn nɛbo opomɛnuciː kcɛrɛː v dobɛ kdɪ bɪlɪ spaːxaːnɪ nɛbɪlɪ crɛstnɛː podlɛ staːcnjiːɦo nɛbo mɛzjɪnaːroɟɲjiːɦo praːva
human_rights_un_cze_msed_64kb_0033	rovnjɛʒ nɛsmiː biːc uloʒɛn trɛsc cjɛʒʃiː nɛʒ jakɛːɦo bɪlo lzɛ pouʒjiːc v dobɛ kdɪ bɪl crɛstniː tʃjɪn spaːxaːn
human_rights_un_cze_msed_64kb_0034	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0035	njɪkdo nɛsmiː biːc vɪscavɛn svɛːvolnɛːmu zasaɦovaːɲiː do soukromɛːɦo ʒjɪvoca do roɟjɪnɪ domova nɛbo korɛsponɟɛntsɛ aɲɪ uːcokuːm na svou tʃɛsc a povjɛsc
human_rights_un_cze_msed_64kb_0036	kaʒdiː maː praːvo na zaːkoɲnou oxranu procɪ cakoviːm zaːsaɦuːm nɛbo uːcokuːm
human_rights_un_cze_msed_64kb_0037	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0038	kaʒdiː maː praːvo volɲɛ sɛ poɦɪbovac a svobodɲɛ sɪ voljɪc bɪdljɪʃcɛ uvɲjɪcr̝ urtʃjɪcɛːɦo staːcu
human_rights_un_cze_msed_64kb_0039	kaʒdiː maː praːvo opuscjɪc kcɛroukolɪ zɛmɪ ɪ svou vlascɲiː a vraːtjɪc sɛ do svɛː zɛmɛ
human_rights_un_cze_msed_64kb_0040	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0041	kaʒdiː maː praːvo vɪɦlɛɟac sɪ pr̝ɛd pronaːslɛdovaːɲjiːm uːcotʃjɪʃcɛ v jjɪniːx zɛmjiːx a poʒjiːvac cam azɪlu
human_rights_un_cze_msed_64kb_0042	toco praːvo nɛlzɛ uplatnjɪc v pr̝jiːpaɟɛ scjiːɦaːɲiː skucɛtʃɲɛ oduːvoɟnjɛnɛːɦo nɛpoljɪcjɪtskiːmɪ zlotʃjɪnɪ nɛbo tʃjɪnɪ kcɛrɛː jsou v rozporu s tsjiːlɪ a zaːsadamɪ spojɛniːx naːroduː
human_rights_un_cze_msed_64kb_0043	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0044	kaʒdiː maː praːvo na staːcɲiː pr̝jiːsluʃnost
human_rights_un_cze_msed_64kb_0045	njɪkdo nɛsmiː biːc svɛːvolɲɛ zbavɛn svɛː staːcɲiː pr̝jiːsluʃnostɪ aɲɪ praːva svou staːcɲiː pr̝jiːsluʃnost zmjɛnjɪt
human_rights_un_cze_msed_64kb_0046	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0047	muʒɪ a ʒɛnɪ jakmjɪlɛ dosaːɦnou plnolɛtoscɪ majiː praːvo bɛz jakɛːɦokolɪ omɛzɛɲiː z duːvoduː pr̝jiːsluʃnostɪ rasovɛː naːrodɲostɲiː nɛbo naːboʒɛnskɛː uzavr̝jiːc sɲacɛk a zaloʒjɪc roɟjɪnu
human_rights_un_cze_msed_64kb_0048	pokud jdɛ o manʒɛlstviː majiː za jɛɦo trvaːɲiː ɪ pr̝ɪ jɛɦo rozvaːzaːɲiː stɛjnaː praːva
human_rights_un_cze_msed_64kb_0049	sɲackɪ moɦou biːc uzavr̝ɛnɪ jɛn sɛ svoboɟniːm a plniːm souɦlasɛm nascaːvajjiːtsjiːx manʒɛluː
human_rights_un_cze_msed_64kb_0050	roɟjɪna jɛ pr̝jɪrozɛnou a zaːkladɲiː jɛɟɲockou spolɛtʃnoscɪ a maː naːrok na oxranu zɛ stranɪ spolɛtʃnoscɪ a staːcu
human_rights_un_cze_msed_64kb_0051	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0052	kaʒdiː maː praːvo vlastnjɪc majɛcɛk jak saːm cak spolu s jjɪniːmɪ
human_rights_un_cze_msed_64kb_0053	njɪkdo nɛsmiː biːc svɛːvolɲɛ zbavɛn svɛːɦo majɛcku
human_rights_un_cze_msed_64kb_0054	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0055	kaʒdiː maː praːvo na svobodu mɪʃlɛɲiː svjɛdomiː a naːboʒɛɲscviː
human_rights_un_cze_msed_64kb_0056	toco praːvo zaɦrnujɛ v sobɛ ɪ volnost zmjɛnjɪt svɛː naːboʒɛɲscviː nɛbo vjiːru jakoʒ ɪ svobodu projɛvovac svɛː naːboʒɛɲscviː nɛbo vjiːru saːm nɛbo spolɛtʃɲɛ s jjɪniːmɪ ac vɛr̝ɛjɲɛ nɛbo soukromɛ vɪutʃovaːnjiːm provaːdjɛɲjiːm naːboʒɛnskiːx uːkonuː boɦosluʒbou a zaxovaːvaːnjiːm obr̝aduː
human_rights_un_cze_msed_64kb_0057	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0058	kaʒdiː maː praːvo na svobodu pr̝ɛsvjɛɟtʃɛɲiː a projɛvu
human_rights_un_cze_msed_64kb_0059	toco praːvo nɛpr̝jɪpouʃciː abɪ njɛkdo crpjɛl uːjmu pro svɛː pr̝ɛsvjɛɟtʃɛɲiː a zaɦrnujɛ praːvo vɪɦlɛdaːvat pr̝jɪjjiːmac a rozʃjɪr̝ovac jɪnformatsɛ a mɪʃlɛnkɪ jakiːmjɪkolɪ proscr̝ɛɟkɪ a bɛz oɦlɛdu na ɦranjɪtsɛ
human_rights_un_cze_msed_64kb_0060	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0061	kaʒdɛːmu jɛ zarutʃɛna svoboda pokojnɛːɦo sɦromaʒɟovaːɲiː a sɟruʒovaːɲiː
human_rights_un_cze_msed_64kb_0062	njɪkdo nɛsmiː biːc nutsɛn abɪ bɪl tʃlɛnɛm njɛjakɛːɦo sdruʒɛɲiː
human_rights_un_cze_msed_64kb_0063	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0064	kaʒdiː maː praːvo abɪ sɛ uːtʃascnjɪl vlaːdɪ svɛː zɛmɛ pr̝jiːmo nɛbo prostr̝ɛdnjɪtscvjiːm svobodɲɛ volɛniːx zaːscuptsuː
human_rights_un_cze_msed_64kb_0065	kaʒdiː maː praːvo vstoupjɪc za rovniːx poɟmjiːnɛk do vɛr̝ɛjniːx sluʒɛb svɛː zɛmɛ
human_rights_un_cze_msed_64kb_0066	zaːkladɛm vlaːɟɲiː motsɪ budjɪʒ vuːlɛ ljɪdu
human_rights_un_cze_msed_64kb_0067	ca musiː biːc vɪjaːɟr̝ɛna spraːvɲɛ provaːdjɛɲiːmɪ volbamɪ kcɛrɛː sɛ majiː konat v pravjɪdɛlniːx obdobjiːx na zaːklaɟɛ vʃɛobɛtsnɛːɦo a rovnɛːɦo ɦlasovatsjiːɦo praːva tajniːm ɦlasovaːnjiːm nɛbo jjɪniːm rovɲotsɛɲniːm poscupɛm zabɛzpɛtʃujjiːtsjiːm svobodu ɦlasovaːɲiː
human_rights_un_cze_msed_64kb_0068	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0069	kaʒdiː tʃlovjɛk maː jako tʃlɛn spolɛtʃnoscɪ praːvo na sotsjɪaːlɲiː zabɛzpɛtʃɛɲiː a naːrok na co abɪ mu bɪla naːrodnjiːm uːsjɪljiːm ɪ mɛzjɪɲaːrodɲiː soutʃjɪnɲostiː a v souladu s orɡanjɪzatsiː a s proscr̝ɛɟkɪ pr̝jiːsluʃnɛːɦo staːcu zajjɪʃtjɛna ɦospodaːr̝skaː sotsjɪaːlɲiː a kulcurɲiː praːva nɛzbɪtɲaː k jɛɦo duːscojɲoscɪ a k svobodɲɛːmu rozvojɪ jɛɦo osobnoscɪ
human_rights_un_cze_msed_64kb_0070	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0071	kaʒdiː maː praːvo na praːtsɪ na svoboɟnou volbu zamjɛscɲaːɲiː na spravɛdljɪvɛː a uspokojjɪvɛː pratsovɲiː poɟmjiːnkɪ a na oxranu procɪ nɛzamjɛscɲanoscɪ
human_rights_un_cze_msed_64kb_0072	kaʒdiː bɛz jakɛːɦokolɪ rozljɪʃovaːɲiː maː naːrok na stɛjniː plac za stɛjnou praːtsɪ
human_rights_un_cze_msed_64kb_0073	kaʒdiː pratsujjiːtsiː maː praːvo na spravɛdljɪvou a uspokojjɪvou oɟmjɛnu kcɛraː bɪ zajjɪʃcovala jɛmu samɛːmu a jɛɦo roɟjɪɲɛ ʒjɪvobɪciː odpovjiːdajjiːtsiː ljɪdskɛː duːscojɲoscɪ a kcɛraː bɪ bɪla doplɲjɛna kdɪbɪ coɦo bɪlo cr̝ɛba jjɪniːmɪ proscr̝ɛɟkɪ sotsjɪaːlɲiː oxranɪ
human_rights_un_cze_msed_64kb_0074	na oxranu sviːx zaːjmuː maː kaʒdiː praːvo zaklaːɟac s jjɪniːmɪ odborovɛː orɡanjɪzatsɛ a pr̝jɪstupovac k njɪm
human_rights_un_cze_msed_64kb_0075	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0076	kaʒdiː maː praːvo na oɟpotʃjɪnɛk a na zocavɛɲiː zɛjmɛːna cakɛː na rozumnɛː vɪmɛzɛɲiː pratsovnjiːx ɦodjɪn a na pravjɪɟɛlnou platsɛnou dovolɛnou
human_rights_un_cze_msed_64kb_0077	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0078	kaʒdiː maː praːvo na cakovou ʒjɪvocɲiː uːrovɛɲ kcɛraː bɪ bɪla s co zajjɪscjɪt jɛɦo zdraviː a blaɦobɪc ɪ zdraviː a blaɦobɪc jɛɦo roɟjɪnɪ potʃjiːcajjiːts v co zɛjmɛːna viːʒjɪvu ʃatscvo bɪc a lɛːkar̝skou pɛːtʃɪ jakoʒ ɪ nɛzbɪtɲaː sotsjɪaːlɲiː opacr̝ɛɲiː
human_rights_un_cze_msed_64kb_0079	maː praːvo na zabɛzpɛtʃɛɲiː v nɛzamjɛscɲanoscɪ v nɛmotsɪ pr̝ɪ nɛzpuːsobjɪloscɪ k praːtsɪ pr̝ɪ ovdovjɛɲiː vɛ scaːr̝iː nɛbo v ostacnjiːx pr̝jiːpadɛx ztraːcɪ viːɟjɛlɛtʃniːx moʒnosciː nascalɛː v duːslɛdku okolnosciː nɛzaːvjɪsliːx na jɛɦo vuːlɪ
human_rights_un_cze_msed_64kb_0080	macɛr̝scviː a djɛcscviː majiː naːrok na zvlaːʃcɲiː pɛːtʃɪ a pomots
human_rights_un_cze_msed_64kb_0081	vʃɛxnɪ djɛcɪ ac manʒɛlskɛː nɛbo nɛmanʒɛlskɛː poʒjiːvajiː stɛjnɛː sotsjɪaːlɲiː oxranɪ
human_rights_un_cze_msed_64kb_0082	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0083	kaʒdiː maː praːvo na vzdjɛlaːɲiː
human_rights_un_cze_msed_64kb_0084	vzdjɛlaːɲiː nɛxc jɛ bɛzplatnɛː alɛspoɲ v potʃaːtɛtʃnjiːx a zaːklaɟnjiːx stupnjiːx
human_rights_un_cze_msed_64kb_0085	zaːkladɲiː vzdjɛlaːɲiː jɛ povjɪnnɛː
human_rights_un_cze_msed_64kb_0086	cɛxnjɪtskɛː a oɟbornɛː vzdjɛlaːɲiː budjɪʒ vʃɛobɛtsɲɛ pr̝jiːstupɲɛː a rovnjɛʒ vɪʃʃiː vzdjɛlaːɲiː maː biːc stɛjɲɛ pr̝jiːstupɲɛː vʃɛm podlɛ sxopnostiː
human_rights_un_cze_msed_64kb_0087	vzdjɛlaːɲiː maː smjɛr̝ovac k plnɛːmu rozvojɪ ljɪdskɛː osobnoscɪ a k posjiːlɛɲiː uːtscɪ k ljɪdskiːm praːvuːm a zaːkladnjiːm svobodaːm
human_rights_un_cze_msed_64kb_0088	maː napomaːɦac k vzaːjɛmnɛːmu porozumjɛɲiː sɲaːʃɛnljɪvoscɪ a pr̝aːcɛlscviː mɛzɪ vʃɛmɪ naːrodɪ a vʃɛmɪ skupjɪnamɪ rasoviːmɪ ɪ naːboʒɛnskiːmɪ jakoʒ ɪ k rozvojɪ tʃjɪɲɲoscɪ spojɛniːx naːroduː pro zaxovaːɲiː mjiːru
human_rights_un_cze_msed_64kb_0089	rodjɪtʃɛ majiː pr̝ɛɟɲoscɲiː praːvo voljɪc druɦ vzdjɛlaːɲiː pro svɛː djɛcɪ
human_rights_un_cze_msed_64kb_0090	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0091	kaʒdiː maː praːvo svobodɲɛ sɛ uːtʃastnjɪc kulcurɲjiːɦo ʒjɪvoca spolɛtʃnoscɪ uːʒjiːvac ploduː umjɛɲiː a podjiːlɛc sɛ na vjɛdɛtskɛːm pokroku a jɛɦo viːcjɛʒtsjiːx
human_rights_un_cze_msed_64kb_0092	kaʒdiː maː praːvo na oxranu moraːlnjiːx a matɛrjɪaːlnjiːx zaːjmuː kcɛrɛː vɪpliːvajiː z jɛɦo vjɛdɛtskɛː ljɪtɛraːrɲiː nɛbo umjɛlɛtskɛː cvorbɪ
human_rights_un_cze_msed_64kb_0093	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0094	kaʒdiː maː praːvo na co abɪ vlaːdl cakoviː sotsjɪaːlɲiː a mɛzjɪɲaːrodɲiː r̝aːd vɛ kcɛrɛːm bɪ praːva a svobodɪ scaɲovɛnɛː v tɛːco dɛklaratsɪ bɪlɪ plɲɛ uplatnjɛnɪ
human_rights_un_cze_msed_64kb_0095	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0096	kaʒdiː maː povjɪɲnoscɪ vuːtʃɪ spolɛtʃnoscɪ v njiːʒ jɛɟjɪnɛː muːʒɛ volɲɛ a plɲɛ rozvjɪnouc svou osobɲosc
human_rights_un_cze_msed_64kb_0097	kaʒdiː jɛ pr̝ɪ viːkonu sviːx praːv a svobod podrobɛn jɛn cakoviːm omɛzɛnjiːm kcɛraː scanoviː zaːkon viːɦradɲɛ za cjiːm uːtʃɛlɛm abɪ bɪlo zajjɪʃtjɛno uznaːvaːɲiː a zaxovaːvaːɲiː praːv a svobod ostacnjiːx a vɪɦovjɛno spravɛdljɪviːm poʒadavkuːm moraːlkɪ vɛr̝ɛjnɛːɦo por̝aːdku a obɛtsnɛːɦo blaɦa v dɛmokracjɪtskɛː spolɛtʃnoscɪ
human_rights_un_cze_msed_64kb_0098	viːkon tjɛxco praːv a svobod nɛsmiː biːc v ʒaːɟnɛːm pr̝jiːpaɟɛ v rozporu s tsjiːlɪ a zaːsadamɪ spojɛniːx naːroduː
human_rights_un_cze_msed_64kb_0099	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0100	njɪts v tɛːco dɛklaratsɪ nɛmuːʒɛ biːc vɪklaːɟaːno jako bɪ daːvalo kcɛrɛːmukolɪ staːcu kcɛrɛːkolɪ skupjɪɲɛ nɛbo osobɛ jakɛːkolɪ praːvo vɪvjiːjɛc tʃjɪɲnosc nɛbo dopouʃtjɛc sɛ tʃjɪnuː kcɛrɛː bɪ smjɛr̝ovalɪ k potlatʃɛɲiː njɛkcɛrɛːɦo z praːv nɛbo njɛkcɛrɛː zɛ svobod v tɛːco dɛklaratsɪ uvɛdɛniːx
