human_rights_un_bul_eu_64kb_0001	vsɛɔpʃtɐ dɛɡɫarɐtsɐ za pravada nɐ tʃɔvɛkɐ
human_rights_un_bul_eu_64kb_0016	ɔsvɛn dofɐ namɐ ta sɛ dopuskɐt niɡɐkfi razlitʃia osnɔfɐni nɐ pɔliditʃɛzkijɐ prɐnijɐ iɫi mɛʒtunɐrɔtnia zdɐdod nɐ dɐrʒɐvɐta iɫi tɛridɔrijada ɡɤm kojato tʃofɛk prinatlɛʃi pɛz ɔklɛt nɐ dofɐ daɫi dazi ztrɐnɐ iɫi dɛritorija ɛ nɛsafisimɐ pɔd pɔpɛtʃitɛɫztfɔ nɛsɐmowprɐvljɐfɐʃta sɛ iɫi podɫɔʃɛna nɐ kɐɡfotɔ i ta ɛ drokɔ ɔɡranitʃɛniɛ nɐ zovɛrɛnidɛta
human_rights_un_bul_eu_64kb_0017	tʃɫɛn
human_rights_un_bul_eu_64kb_0018	fzɛɡi ima prɐvo nɐ ʃifɔd svɔbotɐ i litʃnɐ siɡurnɔzt
human_rights_un_bul_eu_64kb_0019	tʃɫɛn
human_rights_un_bul_eu_64kb_0020	nikoj nɛ drabvɐ ta bɐtɛ tɤrʒan v rɔpstvo iɫi krɛposdnitʃɛsdvo rɔpztfɔto i tɤrkoviɐda z rɔbi za sɐpranɛni fɐv fsitʃkitɛ im fɔrmi
human_rights_un_bul_eu_64kb_0021	tʃɫɛn
human_rights_un_bul_eu_64kb_0022	nikoj nɛ drabvɐ ta bɐtɛ potɫɐɡɐn nɐ istɛsɐnijɐ iɫi nɐ ʒɛztɔɡo nɛtʃɔvɛʃko iɫi wnizitɛlno trɛtiranɛ iɫi nakazɐniɛ
human_rights_un_bul_eu_64kb_0023	tʃɫɛn
human_rights_un_bul_eu_64kb_0024	fzɛɡi tʃofɛk kɐdɛto i ta sɛ nɐmirɐ ima prɐvo nɐ priznɐfɐnɛ nɐ nɛɡofɐdɐ prɐvɔsobɛɡdnost
human_rights_un_bul_eu_64kb_0025	tʃɫɛn
human_rights_un_bul_eu_64kb_0026	vzitʃki xɔra za rɐvni prɛt zakɔna i imɐd prɐvo pɛz kɐɡfatɔ i ta ɛ disɡriminɐtsija nɐ ɛdnaɡfa zaɡriɫa ɔd zakɔna
human_rights_un_bul_eu_64kb_0027	vzitʃki xɔra imɐd prɐvo nɐ ɛdnaɡfa sɐʃtitɐ zrɛʃto kɐɡfatɔ i ta ɛ disɡriminɐtsija naruʃɐfɐʃtɐ dazi tɛklarɐtsia kakdɔ i zrɛʃto fsjaɡo pɔdpoʒtɐnɛ ɡɤm disɡriminɐtsija
human_rights_un_bul_eu_64kb_0028	tʃɫɛn
human_rights_un_bul_eu_64kb_0029	fzɛɡi tʃofɛk ima prɐvo nɐ ɛfɛkdifnɔ vɐztanɔfjɐvɐnɛ nɐ pravada si ɔd ɡompɛtɛndnidɛ nɐtsionaɫni urizdiɡtsii za tɛjzdvia narwʃafaʃti nɛkovi ɔznɔfni prɐva prisnati mw ɔd konstidutsijɐdɐ iɫi zakɔna
human_rights_un_bul_eu_64kb_0030	tʃɫɛn
human_rights_un_bul_eu_64kb_0031	nikoj nɛ drabvɐ ta bɐtɛ potɫɐɡɐn nɐ proisfolɛn ɐrɛzd sɐtɐrʒɐnɛ iɫi izɡnaniɛ
human_rights_un_bul_eu_64kb_0032	tʃɫɛn
human_rights_un_bul_eu_64kb_0033	fzɛɡi tʃofɛk ima prɐvo pri pɐlno ravɛnztvo nɐ spravɛtlifo i publitʃnɔ rasɡɫɛʒtanɛ nɐ nɛɡofɔdɔ dɛlɔ ɔd nɛsɐvisim i bɛzprizdrɐztɛn sɐt za wsdanɔvafɐnɛ nɐ nɛɡɔvitɛ prɐva i zatɐlʒɛniɐ kakdɔ i za rasɡɫɛʒtanɛ nɐ kɐɡfotɔ i ta ɛ nɐkɐzɐdɛɫno ɔpfinɛniɛ prɛtjafɛno zrɛʃto nɛɡo
human_rights_un_bul_eu_64kb_0034	tʃɫɛn
human_rights_un_bul_eu_64kb_0035	fzɛɡi tʃofɛk ɡojto ɛ obvinɛn v prɛztɤpɫɛniɛ ima prɐvo ta bɐtɛ ztʃidɐn za nɛfinɛn to tɔkasvanɛ nɐ nɛɡofɐdɐ finɐ v sɐodvɛtzdviɛ sɐz zakɔna v pubɫitʃɛn prɔtsɛs pɔ vrɛmɛ nɐ ɡojto za mw piɫi osiɡorɛni vzitʃki nɛopxɔtimi ɡɐrɐntsii za nɛɡofɐdɐ sɐʃtitɐ
human_rights_un_bul_eu_64kb_0036	nikoj nɛ drabvɐ ta bɐtɛ osɐtɛn za tɛjstviɛ iɫi pɛztɛjstfiɛ ɡoɛto v mɔmɛnta nɐ isfɤrʃfɐnɛdo mw nɛ ɛ zɐztɐvlɐfɐlɔ prɛztɤpɫɛniɛ pɔ natsionɐɫnodɔ iɫi mɛʃdunɐrɔtnɔdɔ prɐvo
human_rights_un_bul_eu_64kb_0037	nɛ mɔʃɛ zɤʃtɔ dakɐ ta bɐtɛ nɐlaɡanɔ nakazɐniɛ pɔdɛʃko ɔd onova ɡoɛto ɛ bilɔ prɛtfidɛnɔ za zɤɔtfɛdnoto prɛztɤpɫɛniɛ pɔ frɛmɛdo kokɐdo dofɐ prɛztɤpɫɛniɛ ɛ bilɔ izvɐrʃɛnɔ
human_rights_un_bul_eu_64kb_0038	tʃɫɛn
human_rights_un_bul_eu_64kb_0039	nikoj nɛ drabvɐ dɛ bɐtɛ potɫɐɡɐn nɐ proisfɔɫnɐ namɛzɐ v ɫitʃnia mw ʃifɔd zɛmɛjzdfɔto ʒiliʃtɛdɔ i kɔrɛzpontɛntsijɐta nito nɐ pɔzɛkɐdɛlzdfa fɐrxo nɛɡofɐdɐ tʃɛzd i tobrɔ imɛ
human_rights_un_bul_eu_64kb_0040	fzɛɡi tʃofɛk ima prɐvo nɐ zaɡriɫa ɔd zakɔna zrɛʃto pɔdopna namɛzɐ iɫi pɔzɛkɐdɛlzdfa
human_rights_un_bul_eu_64kb_0041	tʃɫɛn
human_rights_un_bul_eu_64kb_0042	fzɛɡi tʃofɛk ima prɐvo zfobotno ta sɛ pritfiʒfa i ta izpira sfoɛto mɛsdɔʃitɛɫztvo v prɛtɛɫidɛ nɐ fsjaɡa dɤrʒava
human_rights_un_bul_eu_64kb_0043	fzɛɡi tʃofɛk ima prɐvo ta papwznɛ fsjaɡa ztrɐnɐ vɡljotʃidɛlnɔ i sfɔɐdɐ i ta sɛ frɐʃtɐ v ztranɐdɐ si
human_rights_un_bul_eu_64kb_0044	tʃɫɛn
human_rights_un_bul_eu_64kb_0045	fzɛɡi tʃofɛk ima prɐvo ta dɤrzi i ta pɔlwtʃi wbɛʃiʃtɛ v droki ztrɐni kokɐdo ɛ prɛsɫɛtfan
human_rights_un_bul_eu_64kb_0046	dofɐ prɐvo nɛ mɔʃɛ ta bɐtɛ pɔlsvanɔ kokɐdo tɛjstvitɛlnodɔ oznɔvɐniɛ za prɛslɛdfanɛ ɛ nɛpolititʃɛzko prɛztɤpɫɛniɛ iɫi tɛaniɛ ɡoɛto protivɔrɛtʃi nɐ tsɛɫidɛ i printsipidɛ nɐ orkanisɐtsiɐdɐ nɐ ɔbɛtinɛnidɛ nɐtsii
human_rights_un_bul_eu_64kb_0047	tʃɫɛn
human_rights_un_bul_eu_64kb_0048	fzɛɡi tʃofɛk ima prɐvo nɐ krɐʃdɐnzdfɔ
human_rights_un_bul_eu_64kb_0049	nikoj nɛ mɔʃɛ ta bɐtɛ proisfɔɫnɔ ɫiʃɛn ɔd sfoɛto krɐʃdɐnzdfɔ nito ta mw bɐtɛ ɔdkasɐno pravodo ta zmɛni krɐʒdɐnstfɔdo si
human_rights_un_bul_eu_64kb_0050	tʃɫɛn
human_rights_un_bul_eu_64kb_0051	mɤʃɛdɛ i ʒɛnitɛ nɐvɤrʃiɫi pɐɫnɔlɛtiɛ pɛz ɡakvito i ta za ɔɡrɐnitʃɛnijɐ osnɔfɐni nɐ rasɐ natsionɐɫnost iɫi rɛɫiɡija imɐd prɐvo ta zkɫjutʃad braɡ i ta obrazuvad zɛmɛjstfɔ
human_rights_un_bul_eu_64kb_0052	dɛ sɛ poɫzofad z rɐvni prɐva pri zɡlotʃfɐnɛ nɐ braɡa pɔ vrɛmɛ nɐ braɡa i pri nɛɡofɔdɔ rɐsdroɡvɐnɛ
human_rights_un_bul_eu_64kb_0053	bɤrɐkɤd drabvɐ ta sɛ zkɫjutʃfa zɐmɔ z doprovɔlnotɔ i pɐlno sɤɡɫɐtsiɛ nɐ bɐtɛʃtidɛ sɤprosi
human_rights_un_bul_eu_64kb_0054	zɛmɛjzdfɔto ɛ ɛsdɛstvɛnɐ i ɔsnɔvnɐ kɫɛtka nɐ ɔbʃtɛsdfoto i ima prɐvo nɐ zaɡriɫa ɔd ɔbʃtɛsdfoto i ɔd dɐrʒɐvɐta
human_rights_un_bul_eu_64kb_0055	tʃɫɛn
human_rights_un_bul_eu_64kb_0056	fzɛɡi tʃofɛk ima prɐvo nɐ zɔpzdfɛnɔzt intivitwalnɔ iɫi sɐfmɛstno z droki litsɐ
human_rights_un_bul_eu_64kb_0057	nikoj nɛ drabvɐ ta bɐtɛ proisfɔɫnɔ ɫiʃɛn ɔd sfɔɐdɐ zɔpzdfɛnɔzt
human_rights_un_bul_eu_64kb_0058	tʃɫɛn
human_rights_un_bul_eu_64kb_0059	fzɛɡi tʃofɛk ima prɐvo nɐ svɔbotɐ nɐ misɤlda zɤfɛztdɐ i rɛɫiɡiadɐ
human_rights_un_bul_eu_64kb_0060	dofɐ prɐvo vkɫjutʃfa pravodo ta zmɛni rɛɫiɡiadɐ iɫi opɛʃtɛniatɐ si kakdɔ i zvopodatɐ ta ispofjatfa rɛɫiɡiadɐ iɫi opɛʃtɛniatɐ si intivitwalnɔ iɫi ɡɔlɛɡdifno publitʃnɔ iɫi tʃɐstno tʃrɛz obwtʃɛniɛ ɔprɛdi pokozluʒɛniɛ i riduɐɫi
human_rights_un_bul_eu_64kb_0061	tʃɫɛn
human_rights_un_bul_eu_64kb_0062	fzɛɡi tʃofɛk ima prɐvo nɐ svɔbotɐ nɐ ubɛʒtɛniɛ i nɐ isrɐsɐvanɛtɔ mw
human_rights_un_bul_eu_64kb_0063	dazi svɔbotɐ vkɫjutʃfa pravodo bɛzprɛpjatztfɛno ta sɛ pridɐrʒɐ ɡɤm sfɔidɛ opɛʒdɛniɐ kakdɔ i pravodo ta dɤrzi ta pɔlwtʃavɐ i ta razproztrɐnɐvɐ infɔrmɐtsijɐ i itɛi tʃrɛz vzitʃki zrɛdzdfɐ i pɛz ɔklɛt nɐ tɤrʒɐfnitɛ ɡrɐnitsi
human_rights_un_bul_eu_64kb_0064	tʃɫɛn
human_rights_un_bul_eu_64kb_0065	fzɛɡi tʃofɛk ima prɐvo nɐ svɔbotɐ nɐ mirni sɐprɐnijɐ i ztroʒɛnia
human_rights_un_bul_eu_64kb_0066	nikoj nɛ drabvɐ ta bɐtɛ prinoʒtavɐn ta otʃɐztfɐ v datɛnɔ sdruʒɛniɛ
human_rights_un_bul_eu_64kb_0067	tʃɫɛn
human_rights_un_bul_eu_64kb_0068	fzɛɡi tʃofɛk ima prɐvo ta otʃɐztfɐ v upravɫɛniɛtɔ nɐ sfɔɐdɐ dɤrʒava praɡo iɫi tʃrɛz zfobotno izbrani prɛdstɐvitɛli
human_rights_un_bul_eu_64kb_0069	fzɛɡi tʃofɛk ima prɐvo nɐ tɔztɤp pri rɐvni ozlɔvija to ɔbʃtɛztfɛnitɛ i dɐrʒavni sɫwʒbi nɐ sfɔɐdɐ ztrɐnɐ
human_rights_un_bul_eu_64kb_0070	foɫɐdɐ nɐ nɐrota drabvɐ ta bɐtɛ ɔsnofɐtɐ nɐ fɫɐsdtɐ nɐ prɐvidɛɫstfoto
human_rights_un_bul_eu_64kb_0071	dazi fɔla drabvɐ ta sɛ isrɐzjavɐ tʃrɛz pɛrioditʃni i tɛjzdvidɛlni isbɔri pri vsɛɔpʃtɔ rafno i dajnɔ kɫazufanɛ iɫi tʃrɛz ravnɔztɔjna protsɛturɐ ɔzikwrjɐfaʃta svɔbotɐ nɐ ɡlɐzwfanɛdo
human_rights_un_bul_eu_64kb_0072	tʃɫɛn
human_rights_un_bul_eu_64kb_0073	fzɛɡi tʃofɛk kadɔ tʃɫɛn nɐ ɔbʃtɛsdfoto ima prɐvo nɐ zɔtsialna siɡurnɔzt i nɐ ɔsɤʃtɛzdvɐvanɛ tʃrɛz nɐtsionaɫni osilia i mɛʃtonɐrotno zɐtrudnitʃɛsdvo i v sɐodvɛtzdviɛ z uzdrojstfodɔ i rɛsorsidɛ nɐ zɤɔtfɛdnata dɤrʒava nɐ ikɔnɔmitʃɛskitɛ zɔtsialnidɛ i ɡoɫturni prɐva nɛopxɔtimi za nɛɡofɔdɔ tostɔjnzdfɔ i za svɔpodnɔto rɐzvitiɛ nɐ nɛɡofɐdɐ ɫitʃnozd
human_rights_un_bul_eu_64kb_0074	tʃɫɛn
human_rights_un_bul_eu_64kb_0075	fzɛɡi tʃofɛk ima prɐvo nɐ trwd nɐ zvopɔdɛn ispɔr nɐ rɐpoda nɐ zprafɛdlivi i pɫakopriadni ozlɔvija nɐ drodɐ kakdɔ i nɐ zaɡriɫa zrɛʃto pɛzrɐpotitsa
human_rights_un_bul_eu_64kb_0076	fzɛɡi tʃofɛk pɛz kɐɡfatɔ i ta ɛ disɡriminɐtsija ima prɐvo nɐ rafno fɤznɐkrɐʃtɛniɛ za rɐvɛn trwd
human_rights_un_bul_eu_64kb_0077	fzɛɡi tʃofɛk ɡojto sɛ drodi ima prɐvo nɐ spravɛtlifo i sadofɔlitɛɫno fɤznɐkrɐʃtɛniɛ ɡoɛto ta ozikwri nɐ nɛɡo i nɛɡofɔdɔ zɛmɛjstfɔ sɐʃtɛzdfofaniɛ zɤodvɛdsdfwfɐʃto nɐ tʃovɛʃɡɔto tostɔjnzdfɔ i tɔpɤlnɛnɔ akɔ dofɐ ɛ nɛobxotimɔ z droki zrɛdzdfɐ za zotsɐɫnɐ sɐʃtitɐ
human_rights_un_bul_eu_64kb_0078	fzɛɡi tʃofɛk ima prɐvo ta utʃrɛdjavɐ i ta tʃlɛnwfɐ v profɛsionɐɫni sɐjuzi za sɐʃtitɐ nɐ sfɔidɛ intɛrɛzi
human_rights_un_bul_eu_64kb_0079	tʃɫɛn
human_rights_un_bul_eu_64kb_0080	fzɛɡi tʃofɛk ima prɐvo nɐ pɔtʃivɡa i ɔdtix vɡljotʃidɛlnɔ nɐ rɐsumno ɔkranitʃafɐnɛ nɐ rɐbotnoto vrɛmɛ i nɐ pɛrioditʃɛn platɛn odpusɡ
human_rights_un_bul_eu_64kb_0081	tʃɫɛn
human_rights_un_bul_eu_64kb_0082	fzɛɡi tʃofɛk ima prɐvo nɐ ʒiznɛnɔ rɐfniʃtɛ vɡljotʃidɛlnɔ prɛxrana ɔplɛklɔ ʒiɫiʃtɛ mɛditsinzɡo ɔbzloʃvanɛ i nɛɔbxodimitɛ sotsiaɫni kriʒi ɡoɛto ɛ nɛobxotimɔ za pɔdtɐrʃanɛ nɐ nɛɡofɔdɔ i nɐ zɛmɛjzdfɔto mw ztrɐfɛ i pɫakosɐsdoɐniɛ
human_rights_un_bul_eu_64kb_0083	tɔj ima prɐvo nɐ ozikwrjafanɛ v slwtʃaj nɐ pɛzrɐpotitsa bolɛzd invalidnɔsd ɔvtɔvjɐvanɛ ztarost iɫi droki slwtʃai nɐ ɫiʃavɐnɛ ɔd zrɛdzdfɐ za sɐʃtɛzdfuvɐnɛ pɔ nɛsɐvizɛʃti ɔd nɛɡo pritʃini
human_rights_un_bul_eu_64kb_0084	mɐjkitɛ i tɛtsata sɛ pɔɫsvɐd z osopɛni kriʒi i pɔdpɔmakanɛ
human_rights_un_bul_eu_64kb_0085	vzitʃki dɛtsɐ rɔdɛni v braɡa iɫi isvɤn braɡa sɛ poɫzofad z ɛdnaɡfa zɔtsialna sɐʃtitɐ
human_rights_un_bul_eu_64kb_0086	tʃɫɛn
human_rights_un_bul_eu_64kb_0087	fzɛɡi tʃofɛk ima prɐvo nɐ oprasɔvɐniɛ
human_rights_un_bul_eu_64kb_0088	ɔbrɐsovaniɛdo drabvɐ ta bɐtɛ pɛspladnɔ pɔnɛ ʃtɔ sɛ ɔdnɐsjɐ to nɐtʃalnɔdo i ɔznɔvnodo oprasɔvɐniɛ
human_rights_un_bul_eu_64kb_0089	nɐtʃalnɔdo oprasɔvɐniɛ drabvɐ ta bɐtɛ sɐdɤlʃidɛlnɔ
human_rights_un_bul_eu_64kb_0090	tɛxnitʃɛskoto i profɛziɔnɐlnɔdo oprasɔvɐniɛ drabvɐ ta bɐdat ɔbʃtotosdɤpni ɐ fizʃɛto oprasɔvɐniɛ drabvɐ ta bɐtɛ ɛdnaɡfo dostɤpno za vzitʃki nɐ ɔsnofɐtɐ nɐ tɛxnitɛ zpɔzɔpnosti
human_rights_un_bul_eu_64kb_0091	ɔbrɐsovaniɛdo drabvɐ ta bɐtɛ nasɔtʃɛnɔ ɡɤm tsalɔztno rɐzvitiɛ nɐ tʃovɛʃɡɐta ɫitʃnozd i zɐzilvanɛ nɐ ofɐʃɛniɛto ɡɤm pravada nɐ tʃɔvɛkɐ i oznɔvnitɛ sfopodi
human_rights_un_bul_eu_64kb_0092	to drabvɐ ta sɐdɛjsdfa za rɐsbirɐtɛlstfɔdo dɤprimɔstta i priɐdɛɫzdvodɔ mɛʃtu vzitʃki nɐrɔti rɐsovi iɫi rɛɫikiɔsni ɡrupi kakdɔ i za ɔsɤʃtɛzdvɐvanɛ dɛjnɔzdda nɐ orkanisɐtsiɐdɐ nɐ ɔbɛtinɛnidɛ nɐtsii za pɔdtɐrʃanɛ nɐ mirɐ
human_rights_un_bul_eu_64kb_0093	rotitɛlitɛ imɐd prɐvo z priɔritɛt ta izbirɐd fidɐ oprasɔvɐniɛ ɡoɛto ta polwtʃɐt tɛxnitɛ dɛtsɐ
human_rights_un_bul_eu_64kb_0094	tʃɫɛn
human_rights_un_bul_eu_64kb_0095	fzɛɡi tʃofɛk ima prɐvo zfobotno ta otʃɐztfɐ v ɡoɫdornija ʃifɔd nɐ ɔbʃtɛsdfoto ta sɛ nɐzɫaʒtafa nɐ iskusdfɐtɐ ta otʃɐztfɐ v naotʃnia nɐprɛdɤk i ta sɛ pɔɫsfa ɔd nɛɡɔvitɛ tɔztiʒɛnia
human_rights_un_bul_eu_64kb_0096	fzɛɡi tʃofɛk ima prɐvo nɐ zaɡriɫa nɐ mɔraɫnidɛ i matɛriɐlnidɛ si intɛrɛzi ɡoito za rɛsoɫdɐd ɔd kɐɡfotɔ i ta ɛ nautʃno ɫidɛrɐtwrno iɫi xodɔʃɛsdfɛnɔ prɔizfɛtɛniɛ nɐ ɡoɛto tɔj ɛ ɐvdɔr
human_rights_un_bul_eu_64kb_0097	tʃɫɛn
human_rights_un_bul_eu_64kb_0098	fzɛɡi tʃofɛk ima prɐvo nɐ sotsiaɫɛn i mɛʒtunarɔtɛn rɛd pri ɡojto pravada i zvobodidɛ prɔfɐzɡlɐsɛni v dazi tɛklarɐtsia moɡad ta bɐdat nɐpɤlno ɔzɐʃtɛsdvɛni
human_rights_un_bul_eu_64kb_0099	tʃɫɛn
human_rights_un_bul_eu_64kb_0100	fzɛɡi tʃofɛk ima zatɐlʒɛniɐ ɡɤm ɔbʃtɛsdfoto v ɡoɛto ɛdinsdvɛno ɛ fɤsmoʒno svɔpodnɔto i tsalɔztno rɐzvitiɛ nɐ nɛɡofɐdɐ ɫitʃnozd
human_rights_un_bul_eu_64kb_0101	fzɛɡi tʃofɛk pri oprɐʒnafanɛdo nɐ sfɔidɛ prɐva i sfopodi ɛ podtʃinɛn zɐmɔ nɐ dakiva ɔɡrɐnitʃɛnijɐ wzdanɔvɛni sɐz zɐkɔn iskɫjotʃitɛlnɔ z tsɛl ta sɛ ozikwri nɛɔpxodimodɔ priznɐfɐnɛ i satʃidɐnɛ pravada i zvobodidɛ nɐ drwkidɛ i za udofɫɛdfɔrjɐfanɛ nɐ sprɐvɛdlividɛ izizkvaniɐ nɐ mɔraɫa ɔbʃtɛsdfɛnia rɛd i opʃtɔdo pɫɐɡɔtɛnstviɛ v ɛtno tɛmokrɐtitʃnɔ opʃtɛzdfɔ
human_rights_un_bul_eu_64kb_0102	tɛzi prɐva i sfopodi pri niɡɐkfi ɔpstoɐdɛlztva nɛ moɡad ta bɐdat oprɐʃnjɐfɐni v protiforɛtʃiɛ z tsɛɫidɛ i printsipidɛ nɐ orkanisɐtsiɐdɐ nɐ ɔbɛtinɛnidɛ nɐtsii
human_rights_un_bul_eu_64kb_0103	tʃɫɛn
human_rights_un_bul_eu_64kb_0104	niʃtɔ v dazi tɛklarɐtsia nɛ mɔʃɛ ta bɐtɛ tɤlɡuvanɔ kadɔ prɛtɔsdɐvjaʃtɔ prɐvo nɐ datɛnɐ dɤrʒava ɡrupɐ iɫi ɫitsɛ ta sɛ sanimɐvad z kɐɡfatɔ i ta ɛ tɛjnozd iɫi ta isvɐrʃfad tɛjzdvia nazɔtʃɛni ɡɤm uniʃtoʃɐvanɛ nɐ pravada i zvobodidɛ prɔfɐzɡlɐsɛni v nɛjɐ
