human_rights_un_afk_cdb_64kb_0001	ɑɑnhˈɛf
human_rights_un_afk_cdb_64kb_0033	nˈiːmɑnt sɑl ˈaːn ɑrbiːtrr ɑrəstˈaːziː ˈaːnhɯdɪŋ ˈɔf bˈɑnəlɪŋskɑp ɔndərʋˈɔrpə ʋˈeːs nˈiː
human_rights_un_afk_cdb_64kb_0034	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0035	eːlkeːn hɛt ˈɪn vɔlə xəlˈɪkhɛɪt dˈiː rˈɛx tɔt n rˈɛxfərdəɣə ˈɛn oːpəbˈaːrə vərhˈoːr dˈøːr n ɔnɑfhˈɑŋklɑjk ˈɛn ɔbjˈɛksiːʋə triːbyːnaːl ˈɪn dˈiː bəpaːlɪŋ vˈɑn siː rˈɛxtə ˈɛn vərplˈɪxtɪŋə ˈɛn dˈiː ˈɔndərsuːk vˈɑn ˈeːnəɣə krˈiːmiːnˈeːlə sˈaːk tˈeːn hˈɔm
human_rights_un_afk_cdb_64kb_0036	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0037	eːlkeːn bˈɛskˈʉldəx vˈɑn n strˈɑvbaːrə ˈoːrtreːdɪŋ hɛt dˈiː rˈɛx ɔm ˈɑs ɔnskˈʉldəx bˈɛskɯ tə ʋˈɔrt tɔt skˈʉldəx bəvˈɪnt vˈɔlɣəns dˈiː ʋɛt ˈɪn n oːpəbˈaːrə sˈaːk ʋˈaːrɪn hiː vərseːkər ˈɪs vˈɑn dˈiː nˈoːdəɣə vərdˈeːdəɣɪŋ
human_rights_un_afk_cdb_64kb_0038	nˈiːmɑnt sɑl bˈɛskˈʉldəx ʋˈɔrt vˈɑn n strˈɑvbaːrə ˈoːrtreːdɪŋ ˈɑs xəvˈɔlx vˈɑn ˈeːnəɣə dˈaːt ˈɔf naːlˈaːtəxhɛɪt ʋˈɑt vˈɔlɣəns naːʃoːnˈaːlə ˈɔf ɪntərnaːʃoːnˈaːlə ʋɛt nˈiː n mˈɪzdaːt tˈɛn tˈiːə vˈɑn dˈiː plˈeːx daːrvˈɑn ʋˈɑs nˈiː
human_rights_un_afk_cdb_64kb_0039	n sʋaːrdər strˈɑf sɑl ˈoːk nˈiː ˈɔpxəl ʋˈɔrt ˈɑs dˈiː strˈɑf ʋˈɑt tˈuːpɑslɪk ʋˈɑs tˈɛn tˈiːə vˈɑn dˈiː ˈoːrtreːdɪŋ nˈiː
human_rights_un_afk_cdb_64kb_0040	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0041	nˈiːmɑnt sɑl ɔndərʋˈɔrpə ʋˈeːs ˈaːn ɑrbiːtrr ˈɪnmɛŋɪŋ mˈɛt siː priːvˈaːthɛɪt faːmˈiːliː ʋˈoːnɪŋ ˈɔf kɔrəspɔndɛnziː nˈiː ˈɔf ˈaːn ˈaːnvɑlə ˈɔp siː ˈeːr ˈɛn reːpyːtˈaːziː nˈiː
human_rights_un_afk_cdb_64kb_0042	eːlkeːn hɛt dˈiː rˈɛx tɔt bəskɛrmɪŋ dˈøːr dˈiː ʋɛt tˈeːn sˈʉlkə ˈɪnmɛŋɪŋ ˈɔf ˈaːnvɑlə
human_rights_un_afk_cdb_64kb_0043	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0044	eːlkeːn hɛt dˈiː rˈɛx tɔt vriːhɛɪt vˈɑn bəʋˈeːɣɪŋ ˈɛn vərbliːf bˈɪnə dˈiː xrˈɛnsə vˈɑn ˈɛlkə stˈaːt
human_rights_un_afk_cdb_64kb_0045	eːlkeːn hɛt dˈiː rˈɛx ɔm ˈeːnəɣə lˈɑnt tə vərlaːt ˈɪnslœɪtəndə siː ˈɛɪjə ˈɛn nˈaː siː lˈɑnt tərˈʉx tə kˈeːr
human_rights_un_afk_cdb_64kb_0046	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0047	eːlkeːn hɛt dˈiː rˈɛx tɔt aːzˈiːl ˈɪn ˈɑndər lˈɑndə
human_rights_un_afk_cdb_64kb_0048	daːr mˈɑx nˈiː ˈɔp hˈiːrdˈiː rˈɛx aːnspraːk xəmaːk ʋˈɔrt tˈiːdəns vərvˈɔlɣɪŋ viːr nˈiːpoːliːtiːkə ˈoːrtreːdɪŋs ˈɔf dˈaːdə ʋˈɑt strɪdəx ˈɪs mˈɛt dˈiː dˈuːlʋɪtə ˈɛn bəɣˈɪnsəls vˈɑn dˈiː vɛreːnəɣdə vˈɔlkə nˈiː
human_rights_un_afk_cdb_64kb_0049	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0050	eːlkeːn hɛt dˈiː rˈɛx tɔt bˈʉrɣərskɑp
human_rights_un_afk_cdb_64kb_0051	nˈiːmɑnt sə bˈʉrɣərskɑp sɑl ɑrbiːtrr ˈɑfxəneːm ʋˈɔrt nˈiː ˈɛn nˈiːmɑnt sɑl vˈɑn dˈiː rˈɛx ɔntnˈeːm ʋˈɔrt ɔm ˈɑfstɑnt tə dˈuːn vˈɑn bˈʉrɣərskɑp nˈiː
human_rights_un_afk_cdb_64kb_0052	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0053	vˈɔlʋɑsə mˈɑns ˈɛn vrɯˈɛːs sɔndər ˈeːnəɣə bəpˈɛrkɪŋ ˈɑs xəvˈɔlx vˈɑn rˈɑs nˈaːziːjoːnaːliːtˈɛɪt ˈɔf xɔdzdˈiːns hɛt dˈiː rˈɛx ɔm tə trɯ ˈɛn mˈɛt n faːmˈiːliː tə bəɣˈɪn
human_rights_un_afk_cdb_64kb_0054	hˈʉlə kˈɑn aːnspraːk mˈaːk ˈɔp xəlˈɪk rˈɛxtə tˈɛn ˈɔpsəxtə vˈɑn dˈiː hˈyːʋəlɪk tˈiːdəns dˈiː hˈyːʋəlɪk ˈɛn tˈiːdəns ɔndbˈɪndɪŋ vˈɑn dˈiː hˈyːʋəlɪk
human_rights_un_afk_cdb_64kb_0055	dˈiː hˈyːʋəlɪk sɑl plˈaːsfɪnt slˈɛxs mˈɛt dˈiː vriːʋˈɪləɣə ˈɛn vɔlə tˈuːstɛmɪŋ vˈɑn dˈiː vˈoːrneːməndə hˈyːʋəlɪksmaːts
human_rights_un_afk_cdb_64kb_0056	dˈiː faːmˈiːliː ˈɪs dˈiː naːtˈyːrlɑjk ˈɛn fʉndaːmɛntˈeːlə xrˈuːpseːnhɛɪt vˈɑn dˈiː xəmˈeːnskɑp ˈɛn kˈɑn aːnspraːk mˈaːk ˈɔp bəskɛrmɪŋ dˈøːr dˈiː xəmˈeːnskɑp ˈɛn dˈiː stˈaːt
human_rights_un_afk_cdb_64kb_0057	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0058	eːlkeːn hɛt dˈiː rˈɛx ɔm ɪndiːviːdyːʋˈeːl ˈɛn ˈɪn ɑsoːziːjaːzˈiː mˈɛt ˈɑndər ˈɛɪjədɔm tə bəsɪt
human_rights_un_afk_cdb_64kb_0059	nˈiːmɑnt sə ˈɛɪjədɔm sɑl ɑrbiːtrr ˈɑfxəneːm ʋˈɔrt nˈiː
human_rights_un_afk_cdb_64kb_0060	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0061	eːlkeːn hɛt dˈiː rˈɛx tɔt vriːhɛɪt vˈɑn dˈɛŋkə xəʋˈeːtə ˈɛn xɔdzdˈiːns
human_rights_un_afk_cdb_64kb_0062	hˈiːrdˈiː rˈɛx slˈœɪt ˈɪn dˈiː rˈɛx ɔm vˈɑn xɔdzdˈiːns ˈɔf xəloːf tə vərˈɑndər ˈɛn dˈiː vriːhɛɪt ɔm hɛtsiː ɑlˈeːn ˈɔf ˈɪn n xəmˈeːnskɑp hˈiːrdˈiː xɔdzdˈiːns ˈɔf xəloːf tə bəˈuːfə dˈøːr vərkˈɔndəɣɪŋ aːmbˈɪdɪŋ ˈɔf hˈɛɪləɣɪŋ
human_rights_un_afk_cdb_64kb_0063	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0064	eːlkeːn hɛt dˈiː rˈɛx tɔt vriːhɛɪt vˈɑn oːpˈiːniː ˈɛn ˈœɪdrʉkɪŋ
human_rights_un_afk_cdb_64kb_0065	hˈiːrdˈiː rˈɛx slˈœɪt dˈiː vriːhɛɪt ˈɪn ɔm oːpˈiːniːs sɔndər ˈɪnmɛŋɪŋ tə lʉx ˈɛn ɔm ˈɪnlɪxtɪŋ ˈɛn iːdˈeːs tə vraː tə ɔntfˈɑŋ ˈɛn tə dˈeːl dˈøːr mɪdəl vˈɑn ˈeːnəɣə mˈeːdiːjʉm tˈɛn spɑjt vˈɑn xrˈɛnsə
human_rights_un_afk_cdb_64kb_0066	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0067	eːlkeːn hɛt dˈiː rˈɛx tɔt vriːhɛɪt vˈɑn vrˈeːtsaːmə vərɣaːdərɪŋ ˈɛn ɑsoːziːjaːzˈiː
human_rights_un_afk_cdb_64kb_0068	nˈiːmɑnt sɑl xədʋˈɪŋ ʋˈɔrt ɔm ˈaːn n ɑsoːziːjaːzˈiː tə bəhˈoːrt nˈiː
human_rights_un_afk_cdb_64kb_0069	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0070	eːlkeːn hɛt dˈiː rˈɛx ɔm ˈaːn dˈiː rəɣˈeːrɪŋ vˈɑn siː lˈɑnt dˈeːl tə nˈeːm hɛtsiː diːrɛk ˈɔf dˈøːr vriːlɪk vərkˈoːzə vərtˈeːnʋoːrdəɣərs
human_rights_un_afk_cdb_64kb_0071	eːlkeːn hɛt dˈiː rˈɛx tɔt xəlˈɪk tˈuːɣɑŋ tɔt dˈiː oːpəbˈaːrə dˈiːnstə ˈɪn siː lˈɑnt
human_rights_un_afk_cdb_64kb_0072	dˈiː ʋˈɪl vˈɑn dˈiː mˈɛnsə sɑl dˈiː bˈaːzəs vˈɔrm vˈɑn dˈiː ɯʋərhɛɪt ˈɔf rəɣˈeːrɪŋ ˈɛn hˈiːrdˈiː ʋˈɪl sɑl ˈœɪtxədrʉk ʋˈɔrt dˈøːr mɪdəl vˈɑn ˈɛxtə tˈʉsəvərkˈiːzɪŋs
human_rights_un_afk_cdb_64kb_0073	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0074	eːlkeːn ˈɑs n lˈɪt vˈɑn dˈiː xəmˈeːnskɑp hɛt dˈiː rˈɛx tɔt bəstˈaːnseːkərhɛɪt ˈɛn kˈɑn aːnspraːk mˈaːk ˈɔp dˈiː vərʋˈɛsəliːkɪŋ vˈɑn dˈiː eːkoːnoːmˈiːsə sˈoːziːjˈaːlə ˈɛn kˈʉltyːrˈeːlə rˈɛxtə ʋˈɑt nˈoːtsaːklɪk ˈɪs viːr siː ʋˈaːrdəxhɛɪt ˈɛn dˈiː vrˈɑj ɔntʋɪkəlɪŋ vˈɑn siː pərsˈoːnlɪkhɛɪt dˈøːr mɪdəl vˈɑn naːʃoːnˈaːlə pˈoːɣɪŋs ˈɛn ɪntərnaːʃoːnˈaːlə sˈaːməʋɛrkɪŋ ˈɛn vˈɔlɣəns dˈiː ɔrɣaːniːzaːzˈiː ˈɛn hˈʉlbrˈɔnə vˈɑn ˈɛlkə stˈaːt
human_rights_un_afk_cdb_64kb_0075	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0076	eːlkeːn hɛt dˈiː rˈɛx ɔm tə ʋˈɛrk tɔt dˈiː vrˈɑj kˈøːzə vˈɑn ˈɑrbɛɪt tɔt rˈɛxfərdəɣə ˈɛn xˈʉnstəɣə ʋˈɛrksɔmstɑndəxheːdə ˈɛn tɔt bəskɛrmɪŋ tˈeːn ʋɛrklˈoːshɛɪt
human_rights_un_afk_cdb_64kb_0077	eːlkeːn sɔndər dɪskrˈiːmiːnaːzˈiː hɛt dˈiː rˈɛx tɔt xəlˈɪk bətˈaːlɪŋ viːr xəlˈɪk ʋˈɛrk
human_rights_un_afk_cdb_64kb_0078	eːlkeːn ʋˈɑt ʋˈɛrk kˈɑn aːnspraːk mˈaːk ˈɔp rˈɛxfərdəɣə vərɣˈuːdɪŋ ʋˈɑt ˈaːn hˈɔm ˈɛn siː faːmˈiːliː n mɛnsʋˈaːrdəɣə bəstaːn vərseːkər ˈɛn ʋˈɑt ˈaːŋɣəvʉl kˈɑn ʋˈɔrt dˈøːr ˈɑndər vˈɔrms vˈɑn sˈoːziːjˈaːlə seːkərhɛɪt ˈɪndiːn nˈoːdəx
human_rights_un_afk_cdb_64kb_0079	eːlkeːn hɛt dˈiː rˈɛx tˈɛr bəskɛrmɪŋ vˈɑn siː bəlˈɑŋə ɔm vˈɑɡbɔndə tə stəx ˈɛn daːrbiː ˈaːn tə slˈœɪt
human_rights_un_afk_cdb_64kb_0080	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0081	eːlkeːn hɛt dˈiː rˈɛx tɔt rˈʉs ˈɛn vrˈɑj tiːt ˈɪnslœɪtənt rˈeːdəlɑjk bəpˈɛrkɪŋs ˈɔp ʋˈɛrksˈyːrə ˈɛn peːriːjoːdˈiːkə bətˈaːldə vərlˈɔf
human_rights_un_afk_cdb_64kb_0082	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0083	eːlkeːn hɛt dˈiː rˈɛx tɔt n leːʋəspɛɪl ʋˈɑt vɔldˈuːndə ˈɪs viːr xəsɔnthɛɪt ʋˈɛlsɪn viːr hˈɔmsɛlf ˈɛn siː faːmˈiːliː ˈɪnslœɪtəndə kˈɔs klˈeːrə bəhˈœɪsɪŋ meːdiːjˈeːzə sɔrx ˈɛn nˈoːtsaːklɑjk bəstˈaːnseːkərhɛɪt ˈɛn dˈiː rˈɛx tɔt vˈoːrdeːlə ˈɔf ˈɔndərstɑntsxɛlt tˈiːdəns ʋɛrklˈoːshɛɪt sˈiːktə ɔŋɣəskɪkthɛɪt ʋˈeːdyːʋˈeːskɑp ɯdˈərdɔm ˈɔf n təkɔrt ˈaːn leːʋəsmɪdələ tˈiːdəns ɔmstɑndəxheːdə bˈœɪtə siː bəhˈeːr
human_rights_un_afk_cdb_64kb_0084	mˈuːdərs ˈɛn kˈɪndərs kˈɑn aːnspraːk mˈaːk ˈɔp spˈeːsiːjˈaːlə sɔrx ˈɛn hˈʉlp
human_rights_un_afk_cdb_64kb_0085	ɑlə kˈɪndərs hɛtsiː bˈɪnə ˈɔf bˈœɪteːxteːlɪk sɑl dˈiːsəlvdə sˈoːziːjˈaːlə bəskɛrmɪŋ xənˈiːt
human_rights_un_afk_cdb_64kb_0086	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0087	eːlkeːn hɛt dˈiː rˈɛx tɔt ˈɔpfuːdɪŋ
human_rights_un_afk_cdb_64kb_0088	ɔpfuːdɪŋ sɑl xrˈaːtəs ʋˈeːs tˈɛn mˈɪnstə ˈɪn dˈiː eːləmˈɛntrə ˈɛn fʉndaːmɛntˈeːlə stˈaːdiːjʉms
human_rights_un_afk_cdb_64kb_0089	eːləmˈɛntrə ˈɔpfuːdɪŋ sɑl vərplˈɪxtənt ʋˈeːs
human_rights_un_afk_cdb_64kb_0090	teːɣniːsə ˈɛn proːfɛʃoːnˈeːlə ˈɔpfuːdɪŋ sɑl xəreːdəlɪk bˈɛskˈɪɡbaːr ʋˈeːs ˈɛn hˈɔr ˈɔpfuːdɪŋ sɑl nˈɛt soː xəreːdəlɪk ˈɔp meːrˈiːtə bˈɛskˈɪɡbaːr ʋˈeːs
human_rights_un_afk_cdb_64kb_0091	ɔpfuːdɪŋ sɑl xəmɪk ʋˈeːs ˈɔp dˈiː vɔlə ɔntʋɪkəlɪŋ vˈɑn dˈiː mɛnslɑjk pərsˈoːnlɪkhɛɪt ˈɛn ˈɔp dˈiː bəvˈɔrdərɪŋ vˈɑn rɛspɛk viːr mˈɛnsərˈɛxtə ˈɛn fʉndaːmɛntˈeːlə vriːhɛɪt
human_rights_un_afk_cdb_64kb_0092	dˈɪt sɑl bəɣrɪp vərdrˈaːxsaːmhɛɪt ˈɛn vrˈiːntskɑp tˈʉsə ˈɑlə nˈaːsiːs rˈɑsə ˈɔf ɛtniːsə xrˈuːpə bəvˈɔrdər aːsˈoːk dˈiː ˈɑktiːʋiːtˈɛɪtə vˈɑn dˈiː vɛreːnəɣdə vˈɔlkə ˈɪn dˈiː hˈɑnthaːʋɪŋ vˈɑn vrˈeːdə
human_rights_un_afk_cdb_64kb_0093	ɯˈeːs hɛt dˈiː rˈɛx ɔm tə kˈiːs ʋˈɑtər tˈɪpə ˈɔpfuːdɪŋ hˈʉlə kˈɪndərs ɔntfˈɑŋ
human_rights_un_afk_cdb_64kb_0094	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0095	ɑlmɑl hɛt dˈiː rˈɛx ɔm vriːlɪk ˈaːn dˈiː kˈʉltyːrˈeːlə leːʋə vˈɑn hˈʉl xəmˈeːnskɑp dˈeːl tə nˈeːm ɔm dˈiː kˈʉnstə tə xənˈiːt ˈɛn ˈɪn ʋˈeːtəskɑplɑjk voːrˈœɪtxɑŋ ˈɛn vˈoːrdeːlə tə dˈeːl
human_rights_un_afk_cdb_64kb_0096	eːlkeːn hɛt dˈiː rˈɛx tɔt dˈiː bəskɛrmɪŋ vˈɑn dˈiː moːrˈeːlə ˈɛn maːteːriːlə bəlˈɑŋə ʋˈɑt sprˈœɪt ˈœɪt ˈeːnəɣə ʋˈeːtəskɑplɑjk lɛtərkˈʉndəɣə ˈɔf kˈʉnsʋɛrk dˈøːr hˈɔm xəproːdyːzˈeːr
human_rights_un_afk_cdb_64kb_0097	aːrtˈiːkəl
