human_rights_un_frn_grd_64kb_0001	deklaʁatjɔn ynivesɛl d dʁwat d lˈɔm
human_rights_un_frn_grd_64kb_0016	ʃakyn pœ z pʁevalwaʁ d tu l dʁwat ɛ d tyt l libete pRoklame dansla pRezɑ̃t deklaʁatl sɑ̃ distɛ̃ksjɔ̃ okynɛ notamɑ̃ d ʁasɛ d kulœʁ dɛksɛ d laŋœ d Rəliʒjo dˈɔpinjɔn pɔlitik u d tut otR opinl dˈɔʁignɛnatjɔnal u sɔsin d fɔʁtynɛ d nɛsɑ̃s u d tut otR zitɥatjɔn.
human_rights_un_frn_grd_64kb_0017	dɛ plus il n zea fɛ okyn distɛ̃ksjɔ̃ fɔ̃de zyʁ l statu pɔlitikɛ ʒyʁidik wintenatjɔnal dy pɛj u dy teʁitwaʁ dɔn yn pesɔn t ʁsɔʁtisantɛ k sɛpɛj u teʁitwaʁ swa ɛ̃depɑ̃dy sy tytɛt nɔn otɔnɔm u sumi a ynɛlimitatjɔn kɛlkɔ̃k d zuvenɛte.
human_rights_un_frn_grd_64kb_0018	aʁtikl 3
human_rights_un_frn_grd_64kb_0019	tu individy a dʁwa a la vje a la libete ɛ a la syʁɛte d sa pesɔnɛ.
human_rights_un_frn_grd_64kb_0020	aʁtikl 4
human_rights_un_frn_grd_64kb_0021	nyl n zea tənu ɛn klavaʒ ni ɛn zevityd
human_rights_un_frn_grd_64kb_0022	lklavaʒ ɛ la tʁet d klavsɔn intedit sy tyt lœʁ fɔʁm.
human_rights_un_frn_grd_64kb_0023	aʁtikl 5
human_rights_un_frn_grd_64kb_0024	nyl n zea sumi a la tɔRtuR ni a d pɛn u tʁetɛmɛnt œs inumɛ̃ udegadants.
human_rights_un_frn_grd_64kb_0025	aʁtikl 6
human_rights_un_frn_grd_64kb_0026	ʃakyn a l dʁwa a la ʁɛkɔnesans ɛn tu ljœ d sa pesɔnalite ʒyʁidikɛ.
human_rights_un_frn_grd_64kb_0027	aʁtikl 7
human_rights_un_frn_grd_64kb_0028	tu sɔn ego dəvɑ̃ la lwa ɛ ɔn dʁwa sɑ̃ distɛ̃ksjɔ̃ a yn egal pʁɔtɛktjɔn dɛla lwa.
human_rights_un_frn_grd_64kb_0029	tu ɔn dʁwa a yn pʁɔtɛktjɔn egal kɔ̃tR tut diskʁiminatjɔn ki vjolaʁe lapʁezɛnt deklaʁatjɔn ɛ kɔ̃tR tut pRovokasjɔ̃ a yn tɛl diskʁiminatjɔn.
human_rights_un_frn_grd_64kb_0030	aʁtikl 8
human_rights_un_frn_grd_64kb_0031	tut pesɔn a dʁwa a yn RəkyR ɛfɛktif dəvɑ̃ l ʒuRidiksjɔ̃ nasjonalkɔmpetɛnt kɔ̃tR l akt vjolɑ̃ l dʁwat fɔndamɛnto ki lɥi sɔn ʁɛkɔnyspaʁ la kɔnstitytjɔn u paʁ la lwa.
human_rights_un_frn_grd_64kb_0032	aʁtikl 9
human_rights_un_frn_grd_64kb_0033	nyl n pœ ɛtʁ aʁbitʁeʁɛmɛn aʁɛte detənu ni ɛgzile.
human_rights_un_frn_grd_64kb_0034	aʁtikl 10
human_rights_un_frn_grd_64kb_0035	tut pesɔn a dʁwat ɛn plɛn egls a s k sa koz swa ɛntɛndɥɛekitablɛmɛn ɛ publikəmɑ̃ paʁ yn tʁibynal indepɛndan ɛ ɛ̃paRsjal ki desideaswa d z dʁwat ɛ ɔbligtjɔns swa dy bjɛnfɔnde d tut akyzatjɔn ɛn npenal diʁig kɔ̃tR ɛlɛ.
human_rights_un_frn_grd_64kb_0036	aʁtikl 1
human_rights_un_frn_grd_64kb_0037	1.
human_rights_un_frn_grd_64kb_0038	tut pesɔn akuze dˈyn akt deliktɥɛy t pRezume inosɑ̃t ʒuska sɛk sa kulpabilite ɛ ete legaləmɑ̃ etabli o kyR dˈyn pRosɛ pyblik ɔù tyt lgʁantj nesesɛR a sa defɛns lɥi oʁɔn ete asuRes.
human_rights_un_frn_grd_64kb_0039	2.
human_rights_un_frn_grd_64kb_0040	nyl n zea kɔndamne puʁ d aktjɔn u ɔmisjɔn ki o mɔmɛn ɔù ɛl ɔntete komizs n kɔ̃stitɥɛ pa yn akt deliktɥɛy dˈapʁɛ l dʁwa natjɔnal wintenatjɔnal.
human_rights_un_frn_grd_64kb_0041	dɛ mɛm il n zea ɛ̃fliʒe okyn pɛn ply fɔʁt k sɛl ki etetaplikabl o mɔmɛn ɔù lˈakt deliktɥɛy a ete kɔmis.
human_rights_un_frn_grd_64kb_0042	aʁtikl 12
human_rights_un_frn_grd_64kb_0043	nyl n zea lˈɔbʒɛ dˈimikstjɔn aRbitRɛR dan sa vj pʁiveɛ sa famit zɔndɔmisil u sa koRɛspɔ̃da ni dˈatɛ̃t a sɔ̃ onœR ɛ a sa ʁepytatjɔn.
human_rights_un_frn_grd_64kb_0044	tut pesɔn a dʁwa a la pʁɔtɛktjɔn d la lwa kɔ̃tR d tɛl imikstjɔn u dɛtɛl atɛntɛs.
human_rights_un_frn_grd_64kb_0045	aʁtikl 13
human_rights_un_frn_grd_64kb_0046	1.
human_rights_un_frn_grd_64kb_0047	tut pesɔn a l dʁwa d siRkule libʁɛmɛn ɛ d ʃwaziʁ sa Rezidɑ̃s alˈinteʁjœʁ dˈyn ɛtat.
human_rights_un_frn_grd_64kb_0048	2.
human_rights_un_frn_grd_64kb_0049	tut pesɔn a l dʁwa d kite ty pejs j kɔ̃pRi l sjɛ̃ ɛ d ʁɛvɛniʁ dansɔn pɛjs.
human_rights_un_frn_grd_64kb_0050	aʁtikl 14
human_rights_un_frn_grd_64kb_0051	1.
human_rights_un_frn_grd_64kb_0052	dɛvan la pɛRsekusl tut pesɔn a l dʁwa d ʃɛRʃe azil ɛ d benefisjed lˈazil ɛn dotR pɛjs.
human_rights_un_frn_grd_64kb_0053	2.
human_rights_un_frn_grd_64kb_0054	sɛ dʁwa n pœ ɛtʁ ɛ̃voke dan l ka d puʁsɥit ʁeɛlɛmɛn fɔ̃de zyʁ ynkʁim d dʁwa kɔmyn u zyʁ d aʒisəmɑ̃ kɔ̃tRɛR o byt ɛ o pRɛ̃sipd natjɔn ynj.
human_rights_un_frn_grd_64kb_0055	aʁtikl 15
human_rights_un_frn_grd_64kb_0056	1.
human_rights_un_frn_grd_64kb_0057	tu individy a dʁwa a yn nasjonalite.
human_rights_un_frn_grd_64kb_0058	2.
human_rights_un_frn_grd_64kb_0059	nyl n pœ ɛtʁ aʁbitʁeʁɛmɛn pʁive d sa nasjonals ni dy dʁwa d ʃɑ̃ʒe dɛnatjɔnalite.
human_rights_un_frn_grd_64kb_0060	aʁtikl 16
human_rights_un_frn_grd_64kb_0061	1.
human_rights_un_frn_grd_64kb_0062	a paʁtiʁ d lˈɑʒ nybilɛ lˈɔm ɛ la fɛmɛ sɑ̃ okyn ʁtʁiktjɔn kɑ̃ a laʁasɛ la nasjonalite u la Rəliʒjo ɔn l dʁwa d z maRje ɛ d fɔnde yn familɛ.
human_rights_un_frn_grd_64kb_0063	ilsɔn d dʁwat ego o RəgaR dy maRjp duRɑ̃ l maʁjaʒ ɛ lɔʁ d sadisɔlytjɔn.
human_rights_un_frn_grd_64kb_0064	2.
human_rights_un_frn_grd_64kb_0065	l maʁjaʒ n pœ ɛtʁ kɔ̃klu kavɛk l libʁ ɛ plɛn kɔnsɛntɛmɛn d futuRsepuks.
human_rights_un_frn_grd_64kb_0066	3.
human_rights_un_frn_grd_64kb_0067	la famil t lˈelemɛn natyʁɛl ɛ fɔndamɛntal d la sɔsjete ɛ a dʁwa a lapʁɔtɛktjɔn d la sɔsjete ɛ d lˈɛtat.
human_rights_un_frn_grd_64kb_0068	aʁtikl 17
human_rights_un_frn_grd_64kb_0069	1.
human_rights_un_frn_grd_64kb_0070	tut pesɔnɛ osi bjɛn sœl kˈɛn kolɛktivs a dʁwa a la pʁɔpʁjete.
human_rights_un_frn_grd_64kb_0071	2.
human_rights_un_frn_grd_64kb_0072	nyl n pœ ɛtʁ aʁbitʁeʁɛmɛn pʁive d sa pʁɔpʁjete
human_rights_un_frn_grd_64kb_0073	aʁtikl 18
human_rights_un_frn_grd_64kb_0074	tut pesɔn a dʁwa a la libete d pɑ̃se d kɔnsjɛns ɛ d ʁɛligɔn
human_rights_un_frn_grd_64kb_0075	s dʁwatɛ̃plik la libete d ʃɑ̃ʒe d ʁɛligɔn u d kɔ̃viksjɔ̃ ensi k la libete dɛmanifte sa ʁɛligɔn u sa kɔ̃viksl sœl u ɛn kɔm tɑ̃ ɛn pyblik kˈɛnpʁive paʁ lˈɛnsɛɲɛmɛnt l pRatikɛs l kult ɛ lˈakɔmplisɛmɛn d Rit.
human_rights_un_frn_grd_64kb_0076	aʁtikl 19
human_rights_un_frn_grd_64kb_0077	tu individy a dʁwa a la libete dˈɔpinjɔn ɛ dˈɛkspʁsl s ki ɛ̃plik l dʁwa dɛn pa ɛtʁ ɛ̃kjete puʁ z ɔpinjɔn ɛ səlɥi d ʃɛRʃe d ʁɛsɛvwaʁ ɛ deRepɑ̃o sɑ̃ kɔ̃sideRasjɔ̃ d fRɔ̃tjɛRs l infɔʁmatjɔn ɛ l ide paʁkɛlk mwajɛn dˈɛkspʁsjɔn k s swat.
human_rights_un_frn_grd_64kb_0078	aʁtikl 20
human_rights_un_frn_grd_64kb_0079	1.
human_rights_un_frn_grd_64kb_0080	tut pesɔn a dʁwa a la libete d ʁeynjɔn ɛ dˈasɔsjatjɔn pasifik.
human_rights_un_frn_grd_64kb_0081	2.
human_rights_un_frn_grd_64kb_0082	nyl n pœ ɛtʁ obliʒe d fɛR paRti dˈyn asɔsjatjɔn.
human_rights_un_frn_grd_64kb_0083	aʁtikl 21
human_rights_un_frn_grd_64kb_0084	1.
human_rights_un_frn_grd_64kb_0085	tut pesɔn a l dʁwa d pʁɛndʁ paʁ a la diʁɛktjɔn d afɛR pyblik dsɔ̃ pejs swa diʁɛktɛmɛnt swa paʁ lˈintemedjeʁ d ʁɛpʁezɛntant libʁɛmɛntʃwazis.
human_rights_un_frn_grd_64kb_0086	2.
human_rights_un_frn_grd_64kb_0087	tut pesɔn a dʁwa a aksede dan d kɔnditjɔn dˈegls o fɔnjɔnspyblik d sɔ̃ pɛjs.
human_rights_un_frn_grd_64kb_0088	3.
human_rights_un_frn_grd_64kb_0089	la vɔlɔnte dy pøpl t l fɔ̃dəmɑ̃ d lˈotɔʁite d puvwaʁ pyblik
human_rights_un_frn_grd_64kb_0090	sɛtɛvɔlɔnte dwa sˈɛkspRime paʁ d elɛktjɔn onɛt ki dwav avwaʁ ljœpeʁjɔdikɛmɛnt o syfʁaʒ ynivesɛl egl ɛ o vɔt səkRɛ u sɥivan ynɛpʁɔkedyʁ ekivalɛnt asuRɑ̃ la libete dy vɔtɛ.
human_rights_un_frn_grd_64kb_0091	aʁtikl 22
human_rights_un_frn_grd_64kb_0092	tut pesɔnɛ ɛn tɑ̃ k mɛmbʁ d la zɔsjete a dʁwa a la zekyʁite sosjal
human_rights_un_frn_grd_64kb_0093	ɛlɛ fɔ̃de a ɔbtɛniʁ la satisfaktjɔn d dʁwat ekɔnɔmikɛs sosjo ɛ kyltyʁɛlsindispɛnsabl a sa diɲite ɛ o libʁ devɛlɔpɛmɛn d sa pɛRsonals gRas alˈɛfɔʁ natjɔnal ɛ a la kɔpeʁatjɔn ɛ̃tɛRnasjonn kɔ̃t tənu d lˈɔʁgnizatjɔn ɛtd RəsyRs d ʃak pɛjs.
human_rights_un_frn_grd_64kb_0094	aʁtikl 23
human_rights_un_frn_grd_64kb_0095	1.
human_rights_un_frn_grd_64kb_0096	tut pesɔn a dʁwa o tʁavel o libʁ ʃwa d sɔ̃ tʁavel a d kɔnditjɔnsekitabl ɛ satisfezant d tʁavel ɛ a la pʁɔtɛktjɔn kɔ̃tR l ʃomag.
human_rights_un_frn_grd_64kb_0097	2.
human_rights_un_frn_grd_64kb_0098	tu ɔn dʁwat sɑ̃ okyn diskʁiminatl a yn saleʁ egl puʁ yn tʁavel egl
human_rights_un_frn_grd_64kb_0099	3.
human_rights_un_frn_grd_64kb_0100	kikɔ̃k tRavajə a dʁwa a yn ʁemyneʁatjɔn ekitabl ɛ satisfezant lɥjasuRɑ̃ ensi ka sa famil yn ɛksistɛns kɔnfɔʁm a la diɲite ymen ɛtkɔmplete sˈil j a ljœ paʁ tu otʁ mwajɛn d pʁɔtɛktjɔn zɔsjalɛ.
human_rights_un_frn_grd_64kb_0101	4.
human_rights_un_frn_grd_64kb_0102	tut pesɔn a l dʁwa d fɔnde avɛk dotR d sindikat ɛ d sˈafilje ad sindikat puʁ la defɛns d z inteʁɛts.
human_rights_un_frn_grd_64kb_0103	aʁtikl 24
human_rights_un_frn_grd_64kb_0104	tut pesɔn a dʁwa o ʁɛpɔ ɛ o lwaziR ɛ notamɑ̃ a yn limitatjɔnʁezɔnabl d la dyʁe dy tʁavel ɛ a d kɔ̃ʒe peje peRjodik.
human_rights_un_frn_grd_64kb_0105	aʁtikl 25
human_rights_un_frn_grd_64kb_0106	1.
human_rights_un_frn_grd_64kb_0107	tut pesɔn a dʁwa a yn nivo d vj sufizɑ̃ puʁ asuRe sa zante zɔnbjɛnɛtʁ ɛ sø d sa famit notamɑ̃ puʁ lˈalimɛntatl lˈabilɛmɛnt lɛlɔgmɛnt l swan mediko ensi k puʁ l sevis sosjo nesesɛR
human_rights_un_frn_grd_64kb_0108	ɛl adRwa a la zekyʁite ɛn ka d ʃomp d maladjɛ dˈinvalids d vœvp dəvjɛls u dan l otʁ ka d pɛRt d z mwajɛn d zybsistans paʁ zɥitɛd siʁkɔnstans ɛ̃depɑ̃dɑ̃t d sa vɔlɔnte.
human_rights_un_frn_grd_64kb_0109	2.
human_rights_un_frn_grd_64kb_0110	la matɛRnite ɛ lˈɛnfans ɔn dʁwa a yn ɛd ɛ a yn asistans spesjal.
human_rights_un_frn_grd_64kb_0111	tusl ɑ̃fɑ̃ts kˈil swa ne dan l maʁjaʒ u ɔR maRjp ʒwis d la mɛmɛpʁɔtɛktjɔn zɔsjalɛ.
human_rights_un_frn_grd_64kb_0112	aʁtikl 26
human_rights_un_frn_grd_64kb_0113	1.
human_rights_un_frn_grd_64kb_0114	tut pesɔn a dʁwa a lˈedykatjɔn.
human_rights_un_frn_grd_64kb_0115	lˈedykatjɔn dwa ɛtʁ gRatɥd o mwɛ̃ ɛn sɛki kɔ̃sɛRn lˈɛnsɛɲɛmɛn elemɛnteʁ ɛ fɔ̃damɑ̃tal.
human_rights_un_frn_grd_64kb_0116	lˈɛnsɛɲɛmɛntelemɛnteʁ t ɔbligtwaʁɛ.
human_rights_un_frn_grd_64kb_0117	lˈɛnsɛɲɛmɛn tɛknik ɛ pʁɔfsjɔnɛl dwa ɛtʁɛgneʁalize
human_rights_un_frn_grd_64kb_0118	lˈakɛ o etyd supeRjœR dwa ɛtʁ yvɛR ɛn plɛn eglite a tuzɛn fɔnjɔn d lœR meRitɛ.
human_rights_un_frn_grd_64kb_0119	2.
human_rights_un_frn_grd_64kb_0120	lˈedykatjɔn dwa vize o plɛn epanwisəmɑ̃ d la pesɔnalite ymen ɛ oʁɛnfɔʁsɛmɛn dy ʁpɛkt d dʁwat d lˈɔm ɛ d libete fɔ̃damɑ̃tal.
human_rights_un_frn_grd_64kb_0121	ɛlɛdwa favoRize la kɔmpʁeɛnsl la tɔleʁans ɛ lˈamitje ɑ̃tR tyt l natjɔn ɛtu l gup Rasjo u Rəliʒjø ensi k l devɛlɔpɛmɛn d aktivite d
human_rights_un_frn_grd_64kb_0122	natjɔn ynj puʁ l mentjɛn d la peks.
human_rights_un_frn_grd_64kb_0123	3.
human_rights_un_frn_grd_64kb_0124	l paRɑ̃ ɔnt paʁ pRijoRs l dʁwa d ʃwaziʁ l gnʁ dˈedykatjɔn a done alœʁ ɛnfants.
human_rights_un_frn_grd_64kb_0125	aʁtikl 27
human_rights_un_frn_grd_64kb_0126	1.
human_rights_un_frn_grd_64kb_0127	tut pesɔn a l dʁwa d pʁɛndʁ paʁ libʁɛmɛn a la vj kyltyʁɛl d lakɔmynote d ʒwiʁ d aR ɛ d paʁtisipe o pʁɔgɛ sjɛntifik ɛ oksbjɛ̃fɛ ki ɛn Rezultɛn
human_rights_un_frn_grd_64kb_0128	2.
human_rights_un_frn_grd_64kb_0129	ʃakyn a dʁwa a la pʁɔtɛktjɔn d inteʁɛt moRo ɛ mateʁjɛl dekylɑ̃ d tutɛpʁɔdyktjɔn sjɑ̃tifikɛ liteʁeʁ u aʁtistik dɔn il t lˈotœʁ.
human_rights_un_frn_grd_64kb_0130	aʁtikl 28
human_rights_un_frn_grd_64kb_0131	tut pesɔn a dʁwa a s k Rɛ zyʁ l plan sosjal ɛ zyʁ l plan intenatjɔnalœ̃ ɔRdR tɛl k l dʁwat ɛ libete enɔ̃se dan la pRezɑ̃t deklaʁatjɔn pɥisɛnti tRyve plɛn ɛfɛt.
human_rights_un_frn_grd_64kb_0132	aʁtikl 29
human_rights_un_frn_grd_64kb_0133	1.
human_rights_un_frn_grd_64kb_0134	lˈindividy a d dəvwaʁ ɛnve la kɔmynote dan lakɛl sœl l libʁ ɛ plɛndevɛlɔpɛmɛn d sa pesɔnalite t pɔsiblɛ.
human_rights_un_frn_grd_64kb_0135	2.
human_rights_un_frn_grd_64kb_0136	dan lˈɛksesis d z dʁwat ɛ dan la ʒwisɑ̃s d z libetes ʃakyn nɛsumi kˈoks limitatjɔn etabli paʁ la lwa ɛkskluzivəmɑ̃ ɛn vy dˈasyʁe laʁɛkɔnesans ɛ l ʁpɛkt d dʁwat ɛ libete dˈotʁɥi ɛ afɛ̃ d satisfeʁ oksʒust ɛgziʒɑ̃s d la mɔRn d lˈɔʁdʁ pyblik ɛ dy bjɛnɛtʁ gneʁal dan ynɛsɔsjete demokRatikɛ.
human_rights_un_frn_grd_64kb_0137	3.
human_rights_un_frn_grd_64kb_0138	s dʁwat ɛ libete n pyRɔ̃ ɛn okyn kas sˈɛksese kɔntʁeʁɛmɛn o bytsɛ o pRɛ̃sip d natjɔn ynj.
human_rights_un_frn_grd_64kb_0139	aʁtikl 30
human_rights_un_frn_grd_64kb_0140	okyn dispɔzitjɔn d la pRezɑ̃t deklaʁatjɔn n pœ ɛtʁ intepʁete komɛɛ̃pliy puʁ yn ɛtat yn gRypəmɑ̃ u yn ɛ̃dividɥ yn dʁwa kɛlkɔ̃k d sɛlivʁe a yn aktivite u dˈakɔmpliʁ yn akt vizan a la dtʁyktjɔn d dʁwat ɛtlibete ki j sɔn enɔnkes.
